Title 	 NE
: 	 $.
Mit 	 APPR
Low 	 NE
Cost 	 NE
ins 	 APPRART
Weltall 	 NN

 	 _SP
Author 	 NN
: 	 $.
Roland 	 NE
Fischer 	 NE

 	 _SP
Abstract 	 NN
: 	 $.
Nanosatelliten 	 NN
wiegen 	 VVFIN
ein 	 ART
Kilogramm 	 NN
, 	 $,
kosten 	 VVFIN
nicht 	 PTKNEG
mehr 	 PIS
als 	 KOKOM
ein 	 ART
Auto 	 NN
und 	 KON
sollen 	 VMFIN
den 	 ART
Zugang 	 NN
zum 	 APPRART
Weltraum 	 NN
demokratisieren 	 VVINF
. 	 $.
Forschende 	 NN
und 	 KON
Produzenten 	 NN
aus 	 APPR
der 	 ART
Schweiz 	 NE
sind 	 VAFIN
mit 	 APPR
dabei 	 PROAV
. 	 $.

 	 _SP

 	 _SP
Mit 	 APPR
seinen 	 PPOSAT
zehn 	 CARD
Zentimetern 	 NN
Seitenlänge 	 NN
will 	 VMFIN
der 	 ART
Satellit 	 NN
CubETH 	 ADV
die 	 ART
Alternative 	 NN
zum 	 APPRART
amerikanischen 	 ADJA
GPS 	 NE
werden 	 VAINF
. 	 $.
| 	 NE
Bild 	 NN
: 	 $.
Reto 	 NE
Wiesendanger 	 NE
, 	 $,
EPFL 	 NE

 	 _SP
Die 	 ART
Raumfahrtszene 	 NN
ist 	 VAFIN
in 	 APPR
Aufruhr 	 NN
: 	 $.
Es 	 PPER
bahnt 	 VVFIN
sich 	 PRF
so 	 ADV
etwas 	 PIS
wie 	 KOKOM
eine 	 ART
Demokratisierung 	 NN
des 	 ART
Weltalls 	 NN
an 	 PTKVZ
– 	 $(
jedenfalls 	 ADV
in 	 APPR
tiefen 	 ADJA
Erdumlaufbahnen 	 NN
. 	 $.
Schon 	 ADV
seit 	 APPR
einigen 	 PIAT
Jahren 	 NN
wird 	 VAFIN
an 	 APPR
zahlreichen 	 ADJA
Hochschulen 	 NN
mit 	 APPR
sogenannten 	 ADJA
Nanosatelliten 	 NN
experimentiert 	 VVPP
. 	 $.
In 	 APPR
den 	 ART
kommenden 	 ADJA
Jahren 	 NN
dürften 	 VMFIN
sie 	 PPER
den 	 ART
kommerziellen 	 ADJA
Durchbruch 	 NN
erleben 	 VVINF
, 	 $,
und 	 KON
die 	 ART
Schweiz 	 NE
spielt 	 VVFIN
dabei 	 PROAV
eine 	 ART
wichtige 	 ADJA
Rolle 	 NN
. 	 $.

 	 _SP
Zum 	 APPRART
Beispiel 	 NN
die 	 ART
Jungunternehmer 	 NN
der 	 ART
Firma 	 NN
Astrocast 	 NE
aus 	 APPR
Lausanne 	 NE
: 	 $.
Sie 	 PPER
wollen 	 VMFIN
mit 	 APPR
Nanosatelliten 	 NN
zu 	 APPR
einem 	 ART
weltumspannenden 	 ADJA
Datennetz 	 NN
für 	 APPR
das 	 ART
Internet 	 NN
der 	 ART
Dinge 	 NN
beitragen 	 VVINF
. 	 $.
Die 	 ART
geplanten 	 ADJA
Kleinstbandbreiten 	 NN
von 	 APPR
rund 	 ADV
einem 	 ART
Kilobyte 	 NN
pro 	 APPR
Tag 	 NN
bieten 	 VVFIN
eine 	 ART
entsprechend 	 ADJD
günstige 	 ADJA
Technik 	 NN
. 	 $.
Erste 	 ADJA
kommerzielle 	 ADJA
Deals 	 NN
sind 	 VAFIN
abgeschlossen 	 VVPP
, 	 $,
momentan 	 ADJD
ist 	 VAFIN
man 	 PIS
auf 	 APPR
der 	 ART
Suche 	 NN
nach 	 APPR
einem 	 ART
Partner 	 NN
, 	 $,
der 	 PRELS
auch 	 ADV
Low-Cost-Transporte 	 NN
anbieten 	 VVINF
kann 	 VMFIN
. 	 $.
Tatsächlich 	 ADJD
ist 	 VAFIN
die 	 ART
Konstruktion 	 NN
von 	 APPR
Kleinsatelliten 	 NN
schon 	 ADV
so 	 ADV
weit 	 ADJD
Routine 	 NN
, 	 $,
dass 	 KOUS
die 	 ART
Beförderung 	 NN
ins 	 APPRART
Weltall 	 NN
momentan 	 ADJD
teurer 	 ADJD
ist 	 VAFIN
als 	 KOKOM
der 	 ART
Satellit 	 NN
an 	 APPR
sich 	 PRF
. 	 $.

 	 _SP
Low 	 NE
Cost 	 NE
– 	 $(
das 	 PDS
ist 	 VAFIN
das 	 ART
magische 	 ADJA
Stichwort 	 NN
dieses 	 PDAT
« 	 $(
New 	 FM
Space 	 NE
Movement 	 FM
" 	 $(
. 	 $.
« 	 $(
Bis 	 APPR
anhin 	 ADV
waren 	 VAFIN
Weltraummissionen 	 NN
den 	 ART
grossen 	 ADJA
staatlichen 	 ADJA
Agenturen 	 NN
vorbehalten 	 VVPP
" 	 $(
, 	 $,
sagt 	 VVFIN
Markus 	 NE
Rothacher 	 NE
, 	 $,
Professor 	 NN
für 	 APPR
mathematische 	 ADJA
und 	 KON
physikalische 	 ADJA
Geodäsie 	 NN
an 	 APPR
der 	 ART
ETH 	 NE
Zürich 	 NE
. 	 $.
« 	 $(
Heute 	 ADV
aber 	 ADV
sind 	 VAFIN
eigene 	 ADJA
Satelliten 	 NN
für 	 APPR
jede 	 PIAT
Uni 	 NN
oder 	 KON
auch 	 ADV
für 	 APPR
kleinere 	 ADJA
Unternehmen 	 NN
realisierbar 	 ADJD
. 	 $.
» 	 $(

 	 _SP
Unabhängiges 	 NN
GPS 	 NE

 	 _SP
Der 	 ART
EPFL-Spin-off 	 NN
Astrocast 	 NE
stützt 	 VVFIN
sich 	 PRF
auf 	 APPR
das 	 ART
Know-how 	 NN
des 	 ART
Swisscube 	 NN
. 	 $.
Dieser 	 PDS
war 	 VAFIN
2009 	 CARD
der 	 ART
erste 	 ADJA
und 	 KON
bis 	 APPR
heute 	 ADV
einzige 	 ADJA
von 	 APPR
Schweizer 	 ADJA
Hochschulen 	 NN
lancierte 	 VVFIN
Kleinsatellit 	 NN
. 	 $.
Eigentlich 	 ADV
hätte 	 VAFIN
längst 	 ADV
ein 	 ART
Nachfolgesatellit 	 NN
starten 	 VVINF
sollen 	 VMFIN
, 	 $,
doch 	 KON
das 	 ART
Projekt 	 NN
CubETH 	 ADV
der 	 ART
ETH 	 NE
Zürich 	 NE
und 	 KON
der 	 ART
EPFL 	 NE
kommt 	 VVFIN
nicht 	 PTKNEG
recht 	 ADV
vom 	 APPRART
Fleck 	 NN
. 	 $.
Geplant 	 VVPP
war 	 VAFIN
, 	 $,
einen 	 ART
zehn 	 CARD
Zentimeter 	 NN
grossen 	 ADJA
Würfel 	 NN
zu 	 PTKZU
bauen 	 VVINF
, 	 $,
um 	 KOUI
ein 	 ART
simples 	 ADJA
