Title 	 NN
: 	 :
The 	 DT
most 	 RBS
personal 	 JJ
decision 	 NN
of 	 IN
all 	 DT

 	 _SP
Author 	 NN
: 	 :
Susanne 	 NNP
Wenger 	 NNP

 	 _SP
Abstract 	 NNP
: 	 :
The 	 DT
sophistication 	 NN
of 	 IN
today 	 NN
’s 	 POS
medicine 	 NN
means 	 VBZ
that 	 IN
when 	 WRB
and 	 CC
how 	 WRB
we 	 PRP
die 	 VBP
is 	 VBZ
no 	 RB
longer 	 RBR
left 	 VBN
to 	 TO
fate 	 VB
alone 	 RB
. 	 .
It 	 PRP
is 	 VBZ
also 	 RB
a 	 DT
consequence 	 NN
of 	 IN
our 	 PRP$
own 	 JJ
decisions 	 NNS
– 	 :
but 	 CC
we 	 PRP
rarely 	 RB
take 	 VBP
them 	 PRP
consciously 	 RB
. 	 .

 	 _SP

 	 _SP
97-year 	 CD
old 	 JJ
patient 	 NN
, 	 ,
suffering 	 VBG
from 	 IN
polymorbidity 	 NN
and 	 CC
frailty 	 NN
in 	 IN
old 	 JJ
age 	 NN

 	 _SP
It 	 PRP
took 	 VBD
thirteen 	 CD
days 	 NNS
for 	 IN
Terri 	 NNP
Schiavo 	 NNP
to 	 TO
die 	 VB
after 	 IN
the 	 DT
doctors 	 NNS
took 	 VBD
out 	 RP
her 	 PRP$
feeding 	 VBG
tube 	 NN
. 	 .
For 	 IN
fifteen 	 CD
years 	 NNS
, 	 ,
this 	 DT
41-year 	 CD
- 	 HYPH
old 	 JJ
woman 	 NN
from 	 IN
Florida 	 NNP
had 	 VBD
lain 	 NN
in 	 IN
a 	 DT
vegetative 	 JJ
state 	 NN
after 	 IN
cardiac 	 JJ
arrest 	 NN
and 	 CC
brain 	 NN
damage 	 NN
. 	 .
Her 	 PRP$
death 	 NN
in 	 IN
late 	 JJ
March 	 NNP
2005 	 CD
was 	 VBD
preceded 	 VBN
by 	 IN
a 	 DT
bitter 	 JJ
dispute 	 NN
. 	 .
Her 	 PRP$
husband 	 NN
wanted 	 VBD
to 	 TO
let 	 VB
her 	 PRP
die 	 VB
, 	 ,
but 	 CC
her 	 PRP$
parents 	 NNS
fought 	 VBD
for 	 IN
her 	 PRP
to 	 TO
be 	 VB
kept 	 VBN
alive 	 JJ
. 	 .
Both 	 DT
sides 	 NNS
claimed 	 VBD
they 	 PRP
were 	 VBD
acting 	 VBG
in 	 IN
her 	 PRP$
best 	 JJS
interests 	 NNS
. 	 .
The 	 DT
Schiavo 	 NNP
case 	 NN
went 	 VBD
through 	 IN
the 	 DT
US 	 NNP
courts 	 NNS
, 	 ,
was 	 VBD
debated 	 VBN
by 	 IN
politicians 	 NNS
, 	 ,
  	 _SP
and 	 CC
attained 	 VBD
considerable 	 JJ
worldwide 	 JJ
attention 	 NN
. 	 .
It 	 PRP
is 	 VBZ
regarded 	 VBN
today 	 NN
as 	 IN
a 	 DT
tragic 	 JJ
example 	 NN
of 	 IN
the 	 DT
complexity 	 NN
that 	 IN
such 	 JJ
situations 	 NNS
can 	 MD
take 	 VB
on 	 RP
– 	 :
especially 	 RB
when 	 WRB
the 	 DT
person 	 NN
actually 	 RB
affected 	 JJ
can 	 MD
not 	 RB
express 	 VB
an 	 DT
opinion 	 NN
. 	 .

 	 _SP
However 	 RB
much 	 JJ
we 	 PRP
profit 	 VBP
from 	 IN
the 	 DT
successes 	 NNS
of 	 IN
modern 	 JJ
medicine 	 NN
, 	 ,
many 	 JJ
people 	 NNS
refuse 	 VBP
the 	 DT
option 	 NN
of 	 IN
being 	 VBG
kept 	 VBN
alive 	 JJ
, 	 ,
because 	 IN
they 	 PRP
do 	 VBP
n’t 	 RB
want 	 VB
“ 	 ``
to 	 TO
be 	 VB
hooked 	 VBN
up 	 RP
to 	 IN
tubes 	 NNS
or 	 CC
machines 	 NNS
” 	 ''
. 	 .
No 	 DT
one 	 NN
can 	 MD
know 	 VB
in 	 IN
advance 	 NN
how 	 WRB
it 	 PRP
feels 	 VBZ
to 	 TO
be 	 VB
in 	 IN
a 	 DT
coma 	 NN
or 	 CC
to 	 TO
have 	 VB
dementia 	 NN
. 	 .
But 	 CC
people 	 NNS
would 	 MD
n’t 	 RB
like 	 VB
to 	 TO
be 	 VB
kept 	 VBN
alive 	 JJ
at 	 IN
any 	 DT
price 	 NN
. 	 .

 	 _SP
It 	 PRP
is 	 VBZ
common 	 JJ
in 	 IN
Switzerland 	 NNP
for 	 IN
end 	 NN
- 	 HYPH
of 	 IN
