Title 	 NE
: 	 $.
« 	 $(
Wer 	 PWS
nicht 	 PTKNEG
lachen 	 VVINF
kann 	 VMFIN
, 	 $,
entdeckt 	 VVFIN
nichts 	 PIS
» 	 $(

 	 _SP
Author 	 NN
: 	 $.
Marcel 	 NE
Hänggi 	 NE

 	 _SP
Abstract 	 NE
: 	 $.
Marcel 	 NE
Tanner 	 NE
hat 	 VAFIN
mehr 	 PIAT
als 	 KOKOM
35 	 CARD
Jahre 	 NN
Erfahrung 	 NN
in 	 APPR
der 	 ART
Forschungszusammenarbeit 	 NN
mit 	 APPR
Ländern 	 NN
des 	 ART
Südens 	 NN
. 	 $.
Für 	 APPR
ihn 	 PPER
ist 	 VAFIN
klar 	 ADJD
: 	 $.
Ohne 	 APPR
Flexibilität 	 NN
, 	 $,
gegenseitigen 	 ADJA
Respekt 	 NN
und 	 KON
Kontextwissen 	 NN
geht 	 VVFIN
es 	 PPER
nicht 	 PTKNEG
. 	 $.

 	 _SP

 	 _SP
Bild 	 NN
: 	 $.
Valérie 	 NN
Chételat 	 NN

 	 _SP
Marcel 	 NE
Tanners 	 NE
Bleistifthalter 	 NN
ist 	 VAFIN
ein 	 ART
Land-Rover-Getriebeteil 	 NN
– 	 $(
ein 	 ART
Andenken 	 NN
an 	 APPR
die 	 ART
grösste 	 ADJA
Reparatur 	 NN
, 	 $,
die 	 PRELS
er 	 PPER
auf 	 APPR
seinen 	 PPOSAT
Forschungsaufenthalten 	 NN
vornehmen 	 VVFIN
musste 	 ADJA
; 	 $.
im 	 APPRART
April 	 NN
1982 	 CARD
in 	 APPR
Tansania 	 NE
sei 	 VAFIN
das 	 PDS
gewesen 	 VAPP
, 	 $,
erinnert 	 VVFIN
er 	 PPER
sich 	 PRF
. 	 $.
Seit 	 APPR
Anfang 	 NN
Jahr 	 NN
ist 	 VAFIN
er 	 PPER
pensioniert 	 VVPP
. 	 $.
Theoretisch 	 ADJD
. 	 $.
Vom 	 APPRART
Direktorenbüro 	 NN
des 	 ART
Swiss 	 NN
Tropical 	 NE
and 	 NE
Public 	 NE
Health 	 NE
Institute 	 FM
( 	 $(
Swiss 	 NN
TPH 	 NE
) 	 $(
in 	 APPR
Basel 	 NE
ist 	 VAFIN
er 	 PPER
in 	 APPR
ein 	 ART
kleineres 	 ADJA
umgezogen 	 VVPP
. 	 $.
Kunstobjekte 	 NN
zeugen 	 VVFIN
von 	 APPR
Arbeitsaufenthalten 	 NN
in 	 APPR
Afrika 	 NE
, 	 $,
Asien 	 NE
und 	 KON
Lateinamerika 	 NE
. 	 $.
Doch 	 KON
Tanner 	 NN
begnügt 	 VVFIN
sich 	 PRF
nicht 	 PTKNEG
damit 	 PROAV
, 	 $,
Enkel 	 NN
zu 	 PTKZU
hüten 	 VVINF
. 	 $.
Zu 	 PTKA
viel 	 PIS
hat 	 VAFIN
er 	 PPER
noch 	 ADV
vor 	 PTKVZ
. 	 $.
Und 	 KON
er 	 PPER
wartet 	 VVFIN
nicht 	 PTKNEG
auf 	 APPR
vorbereitete 	 ADJA
Fragen 	 NN
, 	 $,
um 	 KOUI
von 	 APPR
der 	 ART
Forschungszusammenarbeit 	 NN
