Title 	 NN
: 	 :
The 	 DT
stony 	 NN
path 	 NN
to 	 IN
greater 	 JJR
knowledge 	 NN

 	 _SP
Author 	 NN
: 	 :
Theodora 	 NNP
Peter 	 NNP

 	 _SP
Abstract 	 NNP
: 	 :
Every 	 DT
year 	 NN
, 	 ,
hundreds 	 NNS
of 	 IN
billions 	 NNS
of 	 IN
dollars 	 NNS
flow 	 VBP
into 	 IN
development 	 NN
collaborations 	 NNS
around 	 IN
the 	 DT
world 	 NN
. 	 .
But 	 CC
what 	 WDT
impact 	 NN
does 	 VBZ
this 	 DT
money 	 NN
actually 	 RB
have 	 VB
? 	 .
Critics 	 NNS
are 	 VBP
arguing 	 VBG
for 	 IN
more 	 JJR
experimental 	 JJ
field 	 NN
research 	 NN
. 	 .
Experts 	 NNS
see 	 VBP
an 	 DT
intelligent 	 JJ
mix 	 NN
of 	 IN
methods 	 NNS
as 	 IN
the 	 DT
ideal 	 JJ
way 	 NN
forward 	 RB
. 	 .

 	 _SP

 	 _SP
Patient 	 JJ
dossiers 	 NNS
are 	 VBP
filed 	 VBN
away 	 RB
, 	 ,
but 	 CC
it 	 PRP
’s 	 VBZ
almost 	 RB
impossible 	 JJ
to 	 TO
find 	 VB
them 	 PRP
within 	 IN
a 	 DT
reasonable 	 JJ
space 	 NN
of 	 IN
time 	 NN
if 	 IN
they 	 PRP
’re 	 VBP
ever 	 RB
needed 	 VBN
. 	 .
Most 	 JJS
hospitals 	 NNS
lack 	 VBP
functioning 	 VBG
computers 	 NNS
and 	 CC
IT 	 NN
infrastructure 	 NN
. 	 .

 	 _SP
“ 	 ``
No 	 DT
responsible 	 JJ
physician 	 NN
would 	 MD
consider 	 VB
prescribing 	 VBG
medications 	 NNS
without 	 IN
properly 	 RB
evaluating 	 VBG
their 	 PRP$
impact 	 NN
or 	 CC
potential 	 JJ
side 	 NN
effects 	 NNS
. 	 .
Yet 	 CC
in 	 IN
social 	 JJ
development 	 NN
programs 	 NNS
, 	 ,
where 	 WRB
large 	 JJ
sums 	 NNS
of 	 IN
money 	 NN
are 	 VBP
spent 	 VBN
... 	 :
no 	 DT
such 	 JJ
standard 	 NN
has 	 VBZ
been 	 VBN
adopted 	 VBN
” 	 ''
. 	 .
This 	 DT
sobering 	 VBG
conclusion 	 NN
was 	 VBD
made 	 VBN
in 	 IN
2006 	 CD
by 	 IN
a 	 DT
working 	 VBG
group 	 NN
of 	 IN
the 	 DT
Washington 	 NNP
Center 	 NNP
for 	 IN
Global 	 NNP
Development 	 NNP
, 	 ,
in 	 IN
a 	 DT
provoc 	 NN
  	 _SP
ative 	 JJ
report 	 NN
entitled 	 VBD
: 	 :
“ 	 ``
When 	 WRB
Will 	 MD
We 	 PRP
Ever 	 RB
Learn 	 VB
? 	 .
Improving 	 VBG
Lives 	 VBZ
Through 	 IN
Impact 	 NN
Evaluation 	 NN
” 	 ''
. 	 .
The 	 DT
experts 	 NNS
complained 	 VBD
about 	 IN
  	 _SP
gaps 	 NNS
in 	 IN
evaluating 	 VBG
the 	 DT
impact 	 NN
of 	 IN
development 	 NN
collaboration 	 NN
, 	 ,
and 	 CC
called 	 VBD
for 	 IN
the 	 DT
systematic 	 JJ
establishment 	 NN
of 	 IN
evidence 	 NN
- 	 HYPH
based 	 VBN
decision 	 NN
- 	 HYPH
making 	 NN
. 	 .

 	 _SP
The 	 DT
economist 	 NN
and 	 CC
poverty 	 NN
researcher 	 NN
Esther 	 NNP
Duflo 	 NNP
was 	 VBD
one 	 CD
of 	 IN
those 	 DT
who 	 WP
worked 	 VBD
on 	 IN
the 	 DT
Washington 	 NNP
Report 	 NNP
. 	 .
She 	 PRP
had 	 VBD
already 	 RB
co 	 VBN
- 	 VBD
founded 	 VBD
the 	 DT
Poverty 	 NNP
Action 	 NNP
Lab 	 NNP
J 	 NNP
- 	 HYPH
PAL 	 NNP
back 	 RB
in 	 IN
2003 	 CD
, 	 ,
a 	 DT
research 	 NN
institute 	 NN
based 	 VBN
at 	 IN
the 	 DT
Massachusetts 	 NNP
Institute 	 NNP
of 	 IN
Technology 	 NNP
. 	 .
J 	 NNP
- 	 HYPH
PAL 	 NNP
focuses 	 VBZ
specifically 	 RB
on 	 IN
randomised 	 JJ
field 	 NN
experiments 	 NNS
in 	 IN
order 	 NN
to 	 TO
achieve 	 VB
clean 	 JJ
measurements 	 NNS
of 	 IN
the 	 DT
impact 	 NN
of 	 IN
developmental 	 JJ
measures 	 NNS
. 	 .
