Title 	 NN
: 	 :
Should 	 MD
we 	 PRP
declare 	 VB
the 	 DT
Anthropocene 	 NNP

 	 _SP
Author 	 NN
: 	 :
Flavio 	 NNP
Anselmetti 	 NNP

 	 _SP
Abstract 	 NNP
: 	 :
The 	 DT
human 	 JJ
species 	 NN
has 	 VBZ
a 	 DT
major 	 JJ
impact 	 NN
on 	 IN
the 	 DT
planet 	 NN
. 	 .
This 	 DT
is 	 VBZ
why 	 WRB
the 	 DT
International 	 NNP
Union 	 NNP
of 	 IN
Geological 	 NNP
Sciences 	 NNPS
has 	 VBZ
proposed 	 VBN
introducing 	 VBG
a 	 DT
new 	 JJ
epoch 	 NN
, 	 ,
the 	 DT
Anthropocene 	 NNP
. 	 .
Is 	 VBZ
this 	 DT
a 	 DT
good 	 JJ
idea 	 NN
? 	 .

 	 _SP

 	 _SP
Manu 	 NNP
Friederich 	 NNP
( 	 -LRB-
Fotomontage 	 NNP
) 	 -RRB-

 	 _SP
The 	 DT
Holocene 	 NNP
epoch 	 NN
began 	 VBD
at 	 IN
the 	 DT
end 	 NN
of 	 IN
the 	 DT
last 	 JJ
Ice 	 NNP
Age 	 NNP
: 	 :
11,700 	 CD
years 	 NNS
ago 	 RB
. 	 .
The 	 DT
world 	 NN
population 	 NN
grew 	 VBD
quickly 	 RB
after 	 IN
that 	 DT
, 	 ,
and 	 CC
in 	 IN
recent 	 JJ
decades 	 NNS
it 	 PRP
has 	 VBZ
begun 	 VBN
to 	 TO
alter 	 VB
the 	 DT
Earth 	 NNP
’s 	 POS
system 	 NN
so 	 RB
drastically 	 RB
in 	 IN
such 	 PDT
a 	 DT
brief 	 JJ
geological 	 JJ
time 	 NN
, 	 ,
that 	 IN
we 	 PRP
shall 	 MD
probably 	 RB
soon 	 RB
reach 	 VB
the 	 DT
limits 	 NNS
of 	 IN
what 	 WP
the 	 DT
human 	 JJ
species 	 NN
needs 	 VBZ
to 	 TO
exist 	 VB
. 	 .

 	 _SP
This 	 DT
is 	 VBZ
why 	 WRB
it 	 PRP
makes 	 VBZ
sense 	 NN
to 	 TO
announce 	 VB
a 	 DT
new 	 JJ
epoch 	 NN
, 	 ,
the 	 DT
Anthropocene 	 NNP
. 	 .
As 	 IN
with 	 IN
many 	 JJ
other 	 JJ
geochronological 	 JJ
units 	 NNS
, 	 ,
this 	 DT
epoch 	 NN
is 	 VBZ
being 	 VBG
initiated 	 VBN
by 	 IN
a 	 DT
mass 	 JJ
extinction 	 NN
, 	 ,
and 	 CC
it 	 PRP
has 	 VBZ
already 	 RB
begun 	 VBN
through 	 IN
human 	 JJ
intervention 	 NN
. 	 .
Nuclear 	 JJ
experiments 	 NNS
have 	 VBP
released 	 VBN
radionuclides 	 NNS
that 	 WDT
did 	 VBD
not 	 RB
exist 	 VB
in 	 IN
the 	 DT
preceding 	 VBG
4.6 	 CD
