Title 	 PROPN___
: 	 PUNCT___
Les 	 DET__Definite=Def|Number=Plur|PronType=Art
armes 	 NOUN__Gender=Fem|Number=Plur
du 	 DET__Gender=Masc|Number=Sing
futur 	 ADJ__Gender=Masc|Number=Sing

 	 _SP
Author 	 PROPN___
: 	 PUNCT___
Roland 	 PROPN__Gender=Masc|Number=Sing
Fischer 	 PROPN___

 	 _SP
Abstract 	 NOUN__Gender=Masc|Number=Sing
: 	 PUNCT___
Robots 	 PROPN__Gender=Masc|Number=Sing
tueurs 	 NOUN__Gender=Masc|Number=Plur
et 	 CCONJ___
armes 	 NOUN__Gender=Fem|Number=Plur
incapacitantes 	 ADJ__Gender=Fem|Number=Plur
: 	 PUNCT___
une 	 DET__Definite=Ind|Gender=Fem|Number=Sing|PronType=Art
petite 	 ADJ__Gender=Fem|Number=Sing
sélection 	 NOUN__Gender=Fem|Number=Sing
d’ 	 NUM__NumType=Card
armes 	 NOUN__Gender=Fem|Number=Plur
étonnantes 	 ADJ__Gender=Fem|Number=Plur
imaginées 	 VERB__Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part
dans 	 ADP___
les 	 DET__Definite=Def|Number=Plur|PronType=Art
laboratoires 	 NOUN__Gender=Fem|Number=Plur
de 	 ADP___
recherche 	 NOUN__Gender=Fem|Number=Sing
publics 	 ADJ__Gender=Masc|Number=Plur
et 	 CCONJ___
industriels 	 ADJ__Gender=Masc|Number=Plur
. 	 PUNCT___

 	 _SP

 	 _SP
Illustrations 	 NOUN__Gender=Fem|Number=Plur
de 	 ADP___
1kilo 	 NUM__NumType=Card

 	 _SP
Echauffer 	 VERB__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
les 	 DET__Definite=Def|Number=Plur|PronType=Art
foules 	 NOUN__Gender=Fem|Number=Plur

 	 _SP
Les 	 DET__Definite=Def|Number=Plur|PronType=Art
forces 	 NOUN__Gender=Fem|Number=Plur
aériennes 	 ADJ__Gender=Fem|Number=Plur
américaines 	 ADJ__Number=Plur
ont 	 AUX__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
récemment 	 ADV___
confirmé 	 VERB__Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
que 	 SCONJ___
le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
Lockheed 	 PROPN__Gender=Masc|Number=Sing
