Title 	 NE
: 	 $.
Ist 	 VAFIN
es 	 PPER
sinnvoll 	 ADJD
, 	 $,
das 	 ART
Anthropozän 	 NN
auszurufen 	 ADJA

 	 _SP
Author 	 NN
: 	 $.
Flavio 	 NE
Anselmetti 	 NE

 	 _SP
Abstract 	 NE
: 	 $.
Die 	 ART
Spezies 	 NN
Mensch 	 NN
hat 	 VAFIN
einen 	 ART
grossen 	 ADJA
Einfluss 	 NN
auf 	 APPR
den 	 ART
Planeten 	 NN
. 	 $.
Die 	 ART
International 	 NE
Union 	 NE
of 	 NE
Geological 	 NE
Sciences 	 NE
hat 	 VAFIN
deshalb 	 PROAV
die 	 ART
Einführung 	 NN
der 	 ART
neuen 	 ADJA
Epoche 	 NN
Anthropozän 	 NN
empfohlen 	 VVPP
. 	 $.
War 	 VAFIN
das 	 PDS
eine 	 ART
gute 	 ADJA
Idee 	 NN
? 	 $.

 	 _SP

 	 _SP
Manu 	 NE
Friederich 	 NE
( 	 $(
Fotomontage 	 NN
) 	 $(

 	 _SP
Mit 	 APPR
dem 	 ART
Ende 	 NN
der 	 ART
letzten 	 ADJA
Eiszeit 	 NN
vor 	 APPR
11 	 CARD
700 	 CARD
Jahren 	 NN
beginnt 	 VVFIN
die 	 ART
Epoche 	 NN
des 	 ART
Holozäns 	 NN
. 	 $.
Die 	 ART
Weltbevölkerung 	 NN
wuchs 	 VVFIN
in 	 APPR
der 	 ART
Folge 	 NN
stark 	 ADJD
an 	 PTKVZ
und 	 KON
hat 	 VAFIN
in 	 APPR
den 	 ART
letzten 	 ADJA
Jahrzehnten 	 NN
damit 	 PROAV
begonnen 	 VVPP
, 	 $,
das 	 ART
System 	 NN
Erde 	 NN
in 	 APPR
kurzer 	 ADJA
geologischer 	 ADJA
Zeit 	 NN
so 	 ADV
einschneidend 	 ADJD
zu 	 PTKZU
verändern 	 VVINF
, 	 $,
dass 	 KOUS
die 	 ART
Grenzen 	 NN
der 	 ART
Lebensgrundlage 	 NN
der 	 ART
Spezies 	 NN
Mensch 	 NN
wohl 	 ADV
bald 	 ADV
erreicht 	 VVPP
werden 	 VAINF
. 	 $.

 	 _SP
Es 	 PPER
ergibt 	 VVFIN
deshalb 	 PROAV
Sinn 	 NN
, 	 $,
mit 	 APPR
dem 	 PRELS
Anthropozän 	 NN
eine 	 ART
neue 	 ADJA
Epoche 	 NN
auszurufen 	 VVIZU
: 	 $.
Wie 	 PWAV
viele 	 PIAT
andere 	 ADJA
geochronologische 	 ADJA
Einheiten 	 NN
wird 	 VAFIN
diese 	 PDAT
Epoche 	 NN
durch 	 APPR
ein 	 ART
Massenaussterben 	 NN
eingeleitet 	 VVPP
, 	 $,
das 	 PRELS
durch 	 APPR
menschliches 	 ADJA
Zutun 	 NN
bereits 	 ADV
begonnen 	 VVPP
hat 	 VAFIN
. 	 $.
Durch 	 APPR
nukleare 	 ADJA
Experimente 	 NN
wurden 	 VAFIN
Radionuklide 	 NN
freigesetzt 	 VVPP
, 	 $,
die 	 PRELS
es 	 PPER
in 	 APPR
den 	 ART
vorangehenden 	 ADJA
4,6 	 CARD
Milliarden 	 NN
Jahren 	 NN
Erdgeschichte 	 NN
nicht 	 PTKNEG
gegeben 	 VVPP
hat 	 VAFIN
. 	 $.
Die 	 ART
Nutzung 	 NN
der 	 ART
Millionen 	 NN
Jahre 	 NN
alten 	 ADJA
fossilen 	 ADJA
Brennstoffe 	 NN
führt 	 VVFIN
zu 	 APPR
einer 	 ART
Menge 	 NN
an 	 APPR
Treibhausgasen 	 NN
, 	 $,
die 	 PRELS
zwar 	 ADV
in 	 APPR
der 	 ART
Erdgeschichte 	 NN
nichts 	 PIAT
Einmaliges 	 NN
ist 	 VAFIN
. 	 $.
Aber 	 KON
sowohl 	 KON
die 	 ART
Geschwindigkeit 	 NN
der 	 ART
Veränderung 	 NN
als 	 KON
auch 	 ADV
die 	 ART
Tatsache 	 NN
, 	 $,
dass 	 KOUS
eine 	 ART
einzige 	 ADJA
Spezies 	 NN
deren 	 PDS
Auslöser 	 NN
ist 	 VAFIN
, 	 $,
bleibt 	 VVFIN
bisher 	 ADV
unerreicht 	 VVPP
. 	 $.
In 	 APPR
gewissen 	 ADJA
Gegenden 	 NN
hat 	 VAFIN
durch 	 APPR
die 	 ART
Landwirtschaft 	 NN
bedingte 	 ADJA
Bodenerosion 	 NN
zur 	 APPRART
Ablagerung 	 NN
von 	 APPR
dicken 	 ADJA
Tonschichten 	 NN
geführt 	 VVPP
, 	 $,
die 	 PRELS
sich 	 PRF
eindeutig 	 ADJD
vom 	 APPRART
“ 	 $(
natürlichen 	 ADJA
” 	 $(
Sediment 	 NN
unterscheiden 	 VVINF
. 	 $.
Der 	 ART
“ 	 $(
Maya-Ton 	 NN
” 	 ADV
im 	 APPRART
zentralamerikanischen 	 ADJA
Regenwald 	 NN
reflektiert 	 VVFIN
diesen 	 PDAT
Einfluss 	 NN
einer 	 ART
Hochkultur 	 NN
eindrücklich 	 ADJD
. 	 $.
Damit 	 KOUS
alle 	 PIAT
Wissenschaftler 	 NN
die 	 ART
gleiche 	 ADJA
Sprache 	 NN
sprechen 	 VVINF
, 	 $,
muss 	 VVFIN
die 	 ART
internationale 	 ADJA
stratigrafische 	 ADJA
Kommission 	 NN
auch 	 ADV
diese 	 PDAT
Epoche 	 NN
genau 	 ADJD
definieren 	 VVINF
. 	 $.
Dass 	 KOUS
es 	 PPER
unter 	 APPR
den 	 ART
jüngeren 	 ADJA
geologischen 	 ADJA
Ablagerungen 	 NN
verschiedene 	 ADJA
mögliche 	 ADJA
Anfänge 	 NN
des 	 ART
Anthropozäns 	 NN
gibt 	 VVFIN
, 	 $,
ist 	 VAFIN
wegen 	 APPR
der 	 ART
verschiedenen 	 ADJA
Sediment 	 NN
bildenden 	 ADJA
Prozesse 	 NN
nicht 	 PTKNEG
erstaunlich 	 ADJD
. 	 $.
Welche 	 PWAT
charakteristische 	 ADJA
, 	 $,
durch 	 APPR
den 	 ART
Mensch 	 NN
geprägte 	 ADJA
Schicht 	 NN
und 	 KON
welcher 	 PWAT
zeitliche 	 ADJA
Beginn 	 NN
die 	 ART
Kommission 	 NN
schliesslich 	 ADJD
wählt 	 VVFIN
, 	 $,
