Title 	 NN
: 	 :
“ 	 ``
I 	 PRP
’m 	 VBP
frustrated 	 JJ
” 	 ''

 	 _SP
Author 	 NN
: 	 :
Atlant 	 NNP
Bieri 	 NNP

 	 _SP
Abstract 	 NNP
: 	 :
Martin 	 NNP
Vetterli 	 NNP
, 	 ,
President 	 NNP
of 	 IN
the 	 DT
National 	 NNP
Research 	 NNP
Council 	 NNP
of 	 IN
the 	 DT
SNSF 	 NNP
, 	 ,
has 	 VBZ
been 	 VBN
lobbying 	 VBG
for 	 IN
open 	 JJ
science 	 NN
for 	 IN
years 	 NNS
. 	 .
“ 	 ``
You 	 PRP
ca 	 MD
n’t 	 RB
simply 	 RB
command 	 VB
it 	 PRP
to 	 TO
happen 	 VB
” 	 ''
, 	 ,
he 	 PRP
says 	 VBZ
. 	 .
As 	 IN
a 	 DT
researcher 	 NN
at 	 IN
EPFL 	 NNP
, 	 ,
he 	 PRP
discloses 	 VBZ
all 	 PDT
his 	 PRP$
own 	 JJ
raw 	 JJ
data 	 NNS
. 	 .

 	 _SP

 	 _SP
Bild 	 NNP
: 	 :
Valérie 	 NNP
Chételat 	 NNP

 	 _SP
What 	 WP
does 	 VBZ
' 	 ``
open 	 VB
science 	 NN
' 	 ''
mean 	 NN
to 	 IN
you 	 PRP
as 	 IN
a 	 DT
researcher 	 NN
? 	 .

 	 _SP
At 	 IN
the 	 DT
School 	 NNP
of 	 IN
Computer 	 NNP
and 	 CC
Communication 	 NNP
Sciences 	 NNPS
at 	 IN
EPFL 	 NNP
, 	 ,
we 	 PRP
traditionally 	 RB
make 	 VBP
all 	 PDT
our 	 PRP$
published 	 JJ
papers 	 NNS
freely 	 RB
available 	 JJ
online 	 RB
. 	 .
We 	 PRP
also 	 RB
provide 	 VBP
all 	 PDT
the 	 DT
associated 	 VBN
data 	 NNS
and 	 CC
source 	 NN
codes 	 NNS
. 	 .
In 	 IN
this 	 DT
manner 	 NN
, 	 ,
all 	 PDT
our 	 PRP$
results 	 NNS
can 	 MD
be 	 VB
reproduced 	 VBN
by 	 IN
other 	 JJ
research 	 NN
groups 	 NNS
. 	 .

 	 _SP
Researchers 	 NNS
are 	 VBP
already 	 RB
drowning 	 VBG
in 	 IN
papers 	 NNS
today 	 NN
. 	 .
How 	 WRB
can 	 MD
they 	 PRP
hope 	 VB
to 	 TO
keep 	 VB
up 	 RP
if 	 IN
everything 	 NN
is 	 VBZ
going 	 VBG
to 	 TO
be 	 VB
made 	 VBN
freely 	 RB
available 	 JJ
? 	 .

 	 _SP
With 	 IN
open 	 JJ
science 	 NN
, 	 ,
the 	 DT
exact 	 JJ
opposite 	 NN
will 	 MD
happen 	 VB
. 	 .
Publishing 	 VBG
an 	 DT
article 	 NN
on 	 IN
this 	 DT
basis 	 NN
means 	 VBZ
that 	 IN
all 	 DT
data 	 NNS
is 	 VBZ
documented 	 VBN
clearly 	 RB
. 	 .
Every 	 DT
step 	 NN
in 	 IN
our 	 PRP$
work 	 NN
that 	 WDT
led 	 VBD
to 	 IN
a 	 DT
result 	 NN
is 	 VBZ
described 	 VBN
so 	 IN
that 	 IN
others 	 NNS
can 	 MD
comprehend 	 VB
