Title 	 NE
: 	 $.
« 	 $(
Ich 	 PPER
bin 	 VAFIN
frustriert 	 VVPP
» 	 $(

 	 _SP
Author 	 NN
: 	 $.
Atlant 	 NN
Bieri 	 NE

 	 _SP
Abstract 	 NE
: 	 $.
Martin 	 NE
Vetterli 	 NE
weibelt 	 VVFIN
seit 	 APPR
Jahren 	 NN
für 	 APPR
Open 	 FM
Science 	 NE
. 	 $.
« 	 $(
Befehlen 	 VVINF
kann 	 VMFIN
ich 	 PPER
es 	 PPER
nicht 	 PTKNEG
» 	 $(
, 	 $,
sagt 	 VVFIN
der 	 ART
Präsident 	 NN
des 	 ART
Forschungsrates 	 NN
des 	 ART
Schweizerischen 	 ADJA
Nationalfonds 	 NN
. 	 $.
Als 	 APPR
Forscher 	 NN
an 	 APPR
der 	 ART
EPFL 	 NE
legt 	 VVFIN
er 	 PPER
sämtliche 	 PIS
seiner 	 PPOSAT
Rohdaten 	 NN
offen 	 PTKVZ
. 	 $.

 	 _SP

 	 _SP
Bild 	 NN
: 	 $.
Valérie 	 NN
Chételat 	 NN

 	 _SP
Was 	 PWS
bedeutet 	 VVFIN
" 	 $(
Open 	 FM
Science 	 FM
" 	 $(
für 	 APPR
Sie 	 PPER
als 	 APPR
Forscher 	 NN
? 	 $.

 	 _SP
Wir 	 PPER
haben 	 VAFIN
bei 	 APPR
uns 	 PPER
an 	 APPR
der 	 ART
Fakultät 	 NN
für 	 APPR
Computer- 	 TRUNC
und 	 KON
Kommunikationswissenschaften 	 NN
an 	 APPR
der 	 ART
EPFL 	 NE
eine 	 ART
Tradition 	 NN
, 	 $,
dass 	 KOUS
alle 	 PIAT
veröffentlichten 	 ADJA
Papers 	 NN
online 	 ADV
frei 	 ADJD
verfügbar 	 ADJD
sind 	 VAFIN
. 	 $.
Dazu 	 PROAV
liefern 	 VVFIN
wir 	 PPER
auch 	 ADV
alle 	 PIAT
Daten 	 NN
und 	 KON
alle 	 PIAT
Quellcodes 	 NN
. 	 $.
Auf 	 APPR
diese 	 PDAT
Weise 	 NN
können 	 VMFIN
alle 	 PIAT
unsere 	 PPOSAT
Resultate 	 NN
von 	 APPR
anderen 	 ADJA
Forschergruppen 	 NN
reproduziert 	 VVPP
werden 	 VAINF
. 	 $.

 	 _SP
Schon 	 ADV
heute 	 ADV
versinken 	 VVFIN
Forschende 	 NN
in 	 APPR
Papers 	 NN
. 	 $.
Wie 	 PWAV
können 	 VMFIN
Forschende 	 NN
den 	 ART
Überblick 	 NN
behalten 	 VVINF
, 	 $,
wenn 	 KOUS
nun 	 ADV
alles 	 PIS
offengelegt 	 VVPP
wird 	 VAFIN
? 	 $.

 	 _SP
Mit 	 APPR
Open 	 NE
Science 	 NE
wird 	 VAFIN
genau 	 ADJD
das 	 ART
Gegenteil 	 NN
der 	 ART
Fall 	 NN
sein 	 VAINF
. 	 $.
Einen 	 ART
Artikel 	 NN
auf 	 APPR
dieser 	 PDAT
Basis 	 NN
zu 	 PTKZU
publizieren 	 VVINF
bedeutet 	 VVFIN
, 	 $,
dass 	 KOUS
alle 	 PIAT
Daten 	 NN
sauber 	 ADJD
dokumentiert 	 VVPP
sind 	 VAFIN
