Title 	 NE
: 	 $.
Waffen 	 NN
der 	 ART
Zukunft 	 NN

 	 _SP
Author 	 NN
: 	 $.
Roland 	 NE
Fischer 	 NE

 	 _SP
Abstract 	 NE
: 	 $.
Mit 	 APPR
welchen 	 PWAT
Waffen 	 NN
werden 	 VAFIN
die 	 ART
Konflikte 	 NN
der 	 ART
Zukunft 	 NN
ausgefochten 	 VVFIN
? 	 $.
Eine 	 ART
  	 _SP
Auswahl 	 NN
neuer 	 ADJA
Technologien 	 NN
und 	 KON
Entwicklungen 	 NN
zeigt 	 VVFIN
: 	 $.
Science-Fiction 	 NN
wird 	 VAFIN
Realität 	 NN
. 	 $.

 	 _SP

 	 _SP
Illustrationen 	 NN
von 	 APPR
1kilo 	 CARD

 	 _SP
Mikrowellenwaffen 	 NE

 	 _SP
Die 	 ART
amerikanische 	 ADJA
Luftwaffe 	 NN
hat 	 VAFIN
unlängst 	 ADV
bestätigt 	 VVPP
, 	 $,
dass 	 KOUS
Flugzeuge 	 NN
vom 	 APPRART
Typ 	 NN
AC-130 	 NE
, 	 $,
eine 	 ART
Kombination 	 NN
von 	 APPR
Transporter 	 NN
und 	 KON
Kampfflugzeug 	 NN
, 	 $,
mit 	 APPR
Mikrowellenwaffen 	 NN
ausgerüstet 	 VVPP
werden 	 VAINF
. 	 $.
Solche 	 PIAT
" 	 $(
Active 	 ADJA
denial 	 FM
systems 	 FM
" 	 $(
werden 	 VAFIN
schon 	 ADV
seit 	 APPR
einigen 	 PIAT
Jahren 	 NN
getestet 	 VVPP
, 	 $,
zum 	 APPRART
Beispiel 	 NN
auch 	 ADV
im 	 APPRART
Einsatz 	 NN
gegen 	 APPR
Mobs 	 NN
. 	 $.
Sie 	 PPER
sollen 	 VMFIN
getroffene 	 ADJA
Menschen 	 NN
zeitweilig 	 ADJD
ausser 	 ADJA
Gefecht 	 NN
setzen 	 VVINF
, 	 $,
indem 	 KOUS
die 	 ART
oberflächlich 	 ADJD
in 	 APPR
die 	 ART
Haut 	 NN
eindringenden 	 ADJA
Mikrowellen 	 NN
für 	 APPR
lokale 	 ADJA
Hitze 	 NN
und 	 KON
damit 	 PROAV
starke 	 ADJA
Schmerzreize 	 NN
sorgen 	 VVINF
. 	 $.
Noch 	 ADV
ist 	 VAFIN
umstritten 	 ADJD
, 	 $,
ob 	 KOUS
die 	 ART
Mikrowellen 	 NN
für 	 APPR
den 	 ART
Menschen 	 NN
wirklich 	 ADJD
ungefährlich 	 ADJD
sind 	 VAFIN
. 	 $.
Experten 	 NN
gehen 	 VVFIN
davon 	 PROAV
aus 	 PTKVZ
, 	 $,
dass 	 KOUS
die 	 ART
Systeme 	 NN
eher 	 ADV
aus 	 APPR
politischen 	 ADJA
denn 	 KON
aus 	 APPR
technischen 	 ADJA
Gründen 	 NN
noch 	 ADV
nicht 	 PTKNEG
verbreitet 	 VVPP
eingesetzt 	 VVPP
werden 	 VAINF
. 	 $.

 	 _SP
Laser 	 ADJA

 	 _SP
Laserwaffen 	 NN
, 	 $,
die 	 PRELS
schneiden 	 NN
und 	 KON
zerstören 	 VVFIN
, 	 $,
sind 	 VAFIN
seit 	 APPR
wenigen 	 PIAT
Jahren 	 NN
einsatzreif 	 VVFIN
. 	 $.
Das 	 ART
US-Schlachtschiff 	 NN
USS 	 NE
Ponce 	 NE
kreuzt 	 VVFIN
seit 	 APPR
2014 	 CARD
im 	 APPRART
Persischen 	 ADJA
Golf 	 NN
mit 	 APPR
einer 	 ART
Laserkanone 	 NN
als 	 APPR
Standardwaffensystem 	 NN
. 	 $.
Die 	 ART
exakten 	 ADJA
Leistungsdaten 	 NN
der 	 ART
Kanone 	 NN
sind 	 VAFIN
geheim 	 ADJD
. 	 $.
Experten 	 NN
gehen 	 VVFIN
aber 	 ADV
davon 	 PROAV
aus 	 PTKVZ
, 	 $,
dass 	 KOUS
die 	 ART
Waffe 	 NN
, 	 $,
die 	 PRELS
auf 	 APPR
einem 	 ART
handelsüblichen 	 ADJA
30-Kilowatt- 	 CARD
Schneidlaser 	 NN
basieren 	 VVINF
soll 	 VMFIN
, 	 $,
eine 	 ART
Reichweite 	 NN
von 	 APPR
einem 	 ART
Kilometer 	 NN
für 	 APPR
dünnwandige 	 ADJA
Ziele 	 NN
hat 	 VAFIN
. 	 $.
Das 	 ART
Office 	 NE
of 	 NE
Naval 	 NE
Research 	 FM
der 	 ART
Navy 	 NE
soll 	 VMFIN
bereits 	 ADV
an 	 APPR
einem 	 ART
Nachfolger 	 NN
mit 	 APPR
100 	 CARD
Kilowatt 	 NN
arbeiten 	 VVINF
. 	 $.
Daneben 	 PROAV
befinden 	 VVFIN
sich 	 PRF
eine 	 ART
ganze 	 ADJA
Reihe 	 NN
von 	 APPR
weiteren 	 ADJA
Energiewaffentechnologien 	 NN
im 	 APPRART
Versuchsstadium 	 NN
. 	 $.

 	 _SP
Ferngesteuerte 	 ADJA
Insekten 	 NN

 	 _SP
Die 	 ART
Natur 	 NN
ist 	 VAFIN
unserer 	 PPOSAT
Technologie 	 NN
in 	 APPR
mancher 	 PIAT
Hinsicht 	 NN
überlegen 	 VVINF
. 	 $.
Warum 	 PWAV
also 	 ADV
nicht 	 PTKNEG
die 	 ART
Biologie 	 NN
und 	 KON
den 	 ART
technologischen 	 ADJA
Fortschritt 	 NN
verbinden 	 VVINF
? 	 $.
Eines 	 PIS
der 	 ART
überraschendsten 	 ADJA
Forschungsprogramme 	 NN
der 	 ART
Defense 	 FM
Advanced 	 FM
Research 	 FM
Projects 	 FM
Agency 	 NE
( 	 $(
DARPA 	 NE
) 	 $(
, 	 $,
einer 	 ART
Abteilung 	 NN
des 	 ART
US-amerikanischen 	 ADJA
Verteidigungsministeriums 	 NN
, 	 $,
läuft 	 VVFIN
unter 	 APPR
dem 	 ART
Namen 	 NN
" 	 $(
Hybrid 	 NE
Insect 	 NE
Micro-Electro-Mechanical 	 NE
Systems 	 NE
" 	 $(
. 	 $.
Es 	 PPER
versucht 	 VVFIN
, 	 $,
laufende 	 ADJA
wie 	 KON
fliegende 	 ADJA
Insekten 	 NN
zu 	 PTKZU
züchten 	 VVINF
, 	 $,
denen 	 PRELS
bereits 	 ADV
im 	 APPRART
Larvenstadium 	 NN
Mikrokontroller 	 NN
eingesetzt 	 VVPP
worden 	 VAPP
sind 	 VAFIN
und 	 KON
die 	 PRELS
sich 	 PRF
dann 	 ADV
zu 	 APPR
fernsteurbaren 	 ADJA
Hybridwesen 	 NN
entwickeln 	 VVINF
. 	 $.
Einsatzgebiete 	 NN
wären 	 VAFIN
vor 	 APPR
allem 	 PIS
der 	 ART
Bereich 	 NN
Überwachung 	 NN
und 	 KON
Spionage 	 NN
. 	 $.
Nachgedacht 	 VVPP
haben 	 VAFIN
die 	 ART
Forscher 	 NN
aber 	 ADV
auch 	 ADV
über 	 APPR
die 	 ART
Verbreitung 	 NN
von 	 APPR
Biokampfstoffen 	 NN
. 	 $.
Über 	 APPR
konkrete 	 ADJA
Forschungserfolge 	 NN
ist 	 VAFIN
bislang 	 ADV
kaum 	 ADV
etwas 	 PIS
bekannt 	 ADJD
. 	 $.

 	 _SP
Weltraumwaffen 	 NN

 	 _SP
Zwar 	 ADV
verbietet 	 VVFIN
das 	 ART
SALT-II-Abkommen 	 NN
aus 	 APPR
dem 	 ART
Jahr 	 NN
1979 	 CARD
die 	 ART
Stationierung 	 NN
von 	 APPR
Massenvernichtungswaffen 	 NN
in 	 APPR
der 	 ART
Erdumlaufbahn 	 NN
. 	 $.
Konventionelle 	 ADJA
Waffensysteme 	 NN
werden 	 VAFIN
dennoch 	 ADV
weiterentwickelt 	 VVPP
, 	 $,
darunter 	 PROAV
auch 	 ADV
eine 	 ART
Idee 	 NN
des 	 ART
Science-Fiction- 	 NE
Autors 	 NE
Jerry 	 NE
Pournelle 	 NN
aus 	 APPR
den 	 ART
1950er 	 ADJA
Jahren 	 NN
, 	 $,
die 	 PRELS
er 	 PPER
" 	 $(
Thor 	 NN
" 	 $(
nannte 	 VVFIN
: 	 $.
aus 	 APPR
Satelliten 	 NN
punktgenau 	 ADJD
fallen 	 VVFIN
gelassene 	 ADJA
Metallobjekte 	 NN
. 	 $.
Die 	 ART
US 	 NE
Air 	 NE
Force 	 NE
hat 	 VAFIN
vor 	 APPR
einigen 	 PIAT
Jahren 	 NN
ein 	 ART
System 	 NN
mit 	 APPR
gegen 	 APPR
zehn 	 CARD
Meter 	 NN
langen 	 ADJA
Stäben 	 NN
aus 	 APPR
Wolfram 	 NE
vorgestellt 	 VVPP
, 	 $,
die 	 PRELS
der 	 ART
enormen 	 ADJA
Hitze 	 NN
beim 	 APPRART
Eintritt 	 NN
in 	 APPR
die 	 ART
Atmosphäre 	 NN
widerstehen 	 VVINF
und 	 KON
die 	 PRELS
mit 	 APPR
einer 	 ART
Geschwindigkeit 	 NN
von 	 APPR
mehr 	 PIAT
als 	 KOKOM
3000 	 CARD
Metern 	 NN
pro 	 APPR
Sekunde 	 NN
auf 	 APPR
die 	 ART
Erdoberfläche 	 NN
auftreffen 	 VVPP
und 	 KON
dabei 	 PROAV
auch 	 ADV
dickste 	 ADJA
Bunkerwände 	 NN
durchdringen 	 VVINF
würden 	 VAFIN
. 	 $.
Das 	 PDS
bleibt 	 VVFIN
wohl 	 ADV
Wunschdenken 	 NN
: 	 $.
Die 	 ART
enormen 	 ADJA
Kosten 	 NN
sprechen 	 VVFIN
gegen 	 APPR
die 	 ART
Hammermethode 	 NN
aus 	 APPR
dem 	 ART
All 	 NN
. 	 $.

 	 _SP
Autonome 	 ADJA
Kampfmaschinen 	 NN

 	 _SP
Auf 	 APPR
dem 	 ART
Schlachtfeld 	 NN
der 	 ART
Zukunft 	 NN
machen 	 VVFIN
Maschinen 	 NN
gewalttätige 	 ADJA
Konflikte 	 NN
unter 	 APPR
sich 	 PRF
aus 	 PTKVZ
– 	 $(
das 	 PDS
ist 	 VAFIN
ein 	 ART
beliebtes 	 ADJA
Science-Fiction-Szenario 	 NN
. 	 $.
Schon 	 ADV
die 	 ART
Science-Fiction-Dramaturgie 	 NN
wusste 	 VVFIN
: 	 $.
Kampfroboter 	 NN
können 	 VMFIN
auch 	 ADV
gegen 	 APPR
Menschen 	 NN
eingesetzt 	 VVPP
werden 	 VAINF
. 	 $.
Die 	 ART
