Title 	 NE
: 	 $.
Der 	 ART
lange 	 ADJA
Weg 	 NN
zu 	 APPR
Open 	 NE
Science 	 NE

 	 _SP
Author 	 NN
: 	 $.
Sven 	 NE
Titz 	 NE

 	 _SP
Abstract 	 NE
: 	 $.
Viele 	 PIAT
Forscher 	 NN
finden 	 VVFIN
die 	 ART
neue 	 ADJA
Wissenschaftskultur 	 NN
gut 	 ADJD
, 	 $,
zögern 	 VVFIN
aber 	 ADV
noch 	 ADV
, 	 $,
sich 	 PRF
auf 	 APPR
offenen 	 ADJA
Erkenntnisaustausch 	 NN
einzulassen 	 VVIZU
. 	 $.
Mangelnde 	 ADJA
Kenntnisse 	 NN
im 	 APPRART
Datenmanagement 	 NN
und 	 KON
die 	 ART
Angst 	 NN
vor 	 APPR
Ideenklau 	 NN
sind 	 VAFIN
nur 	 ADV
zwei 	 CARD
der 	 ART
vielen 	 PIAT
Gründe 	 NN
. 	 $.

 	 _SP

 	 _SP
Transparenter 	 NN
und 	 KON
kollaborativer 	 ADJD
: 	 $.
Die 	 ART
Forschung 	 NN
muss 	 VVFIN
sich 	 PRF
neu 	 ADJD
erfinden 	 VVINF
. 	 $.
Aber 	 KON
wie 	 PWAV
? 	 $.

 	 _SP
Wissenschaftler 	 NN
legen 	 VVFIN
von 	 APPR
Beginn 	 NN
an 	 APZR
ihre 	 PPOSAT
Studien- 	 TRUNC
und 	 KON
Versuchspläne 	 NN
offen 	 PTKVZ
; 	 $.
sie 	 PPER
berichten 	 VVFIN
auf 	 APPR
Blogs 	 NN
transparent 	 ADJD
und 	 KON
tagesaktuell 	 ADJD
über 	 APPR
ihre 	 PPOSAT
Fortschritte 	 NN
im 	 APPRART
Labor 	 NN
; 	 $.
später 	 ADJD
publizieren 	 VVFIN
sie 	 PPER
in 	 APPR
Open-Access-Zeitschriften 	 NN
, 	 $,
die 	 PRELS
per 	 APPR
Open 	 FM
Peer 	 NN
Review 	 NN
begutachtet 	 VVPP
wurden 	 VAFIN
. 	 $.
Die 	 ART
Resultate 	 NN
legen 	 VVFIN
sie 	 PPER
in 	 APPR
für 	 APPR
alle 	 PIAT
Welt 	 NN
einsehbare 	 ADJA
