Title 	 PROPN___
: 	 PUNCT___
Who’ 	 NOUN__NumType=Card
s 	 NOUN__Number=Plur
Who 	 NOUN__Number=Plur
helvétique 	 ADJ__Number=Sing
de 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
recherche 	 NOUN__Gender=Fem|Number=Sing
pour 	 ADP___
le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
développement 	 NOUN__Gender=Masc|Number=Sing

 	 _SP
Author 	 PROPN___
: 	 PUNCT___
Pascale 	 ADJ__Gender=Fem|Number=Sing
Hofmeier 	 PROPN__Gender=Masc|Number=Sing

 	 _SP
Abstract 	 NOUN__Gender=Masc|Number=Sing
: 	 PUNCT___
Quelque 	 ADV___
50 	 NUM__NumType=Card
millions 	 NOUN__Gender=Masc|Number=Plur|NumType=Card
de 	 ADP___
francs 	 NOUN__Gender=Masc|Number=Plur
sont 	 AUX__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
annuellement 	 ADV___
alloués 	 VERB__Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass
à 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
recherche 	 NOUN__Gender=Fem|Number=Sing
dans 	 ADP___
l’ 	 PROPN___
aide 	 NOUN__Number=Sing
au 	 PROPN___
développement 	 VERB__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
. 	 PUNCT___
La 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
Direction 	 NOUN__Gender=Fem|Number=Sing
du 	 DET__Gender=Masc|Number=Sing
développement 	 NOUN__Gender=Masc|Number=Sing
et 	 CCONJ___
de 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
coopération 	 NOUN__Gender=Fem|Number=Sing
( 	 PUNCT___
DDC 	 PROPN___
) 	 PUNCT___
a 	 AUX__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
financé 	 VERB__Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
recherche 	 NOUN__Gender=Fem|Number=Sing
scientifique 	 ADJ__Number=Sing
à 	 ADP___
hauteur 	 NOUN__Gender=Fem|Number=Sing
de 	 ADP___
51,3 	 NUM__NumType=Card
millions 	 NOUN__Gender=Masc|Number=Plur|NumType=Card
de 	 ADP___
francs 	 NOUN__Gender=Masc|Number=Plur
en 	 ADP___
2015 	 NUM__NumType=Card
, 	 PUNCT___
par 	 ADP___
le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
biais 	 NOUN__Gender=Masc
de 	 ADP___
créditscadres 	 NOUN__Gender=Masc|Number=Plur
de 	 ADP___
l’ 	 PROPN___
aide 	 NOUN__Number=Sing
publique 	 ADJ__Gender=Fem|Number=Sing
au 	 PROPN___
développement 	 VERB__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
. 	 PUNCT___
Cela 	 PRON__Number=Sing|PronType=Dem
fait 	 VERB__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
partie 	 NOUN__Gender=Fem|Number=Sing
de 	 ADP___
son 	 DET__Number=Sing|Poss=Yes
mandat 	 NOUN__Gender=Masc|Number=Sing
. 	 PUNCT___
Le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
montant 	 NOUN__Gender=Masc|Number=Sing
le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
plus 	 ADV___
important 	 ADJ__Gender=Masc|Number=Sing
est 	 AUX__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
investi 	 ADJ__Number=Sing
dans 	 ADP___
