Title 	 NN
: 	 :
Key 	 JJ
Swiss 	 JJ
institutions 	 NNS
in 	 IN
development 	 NN
research 	 NN

 	 _SP
Author 	 NN
: 	 :
Pascale 	 NNP
Hofmeier 	 NN

 	 _SP
Abstract 	 NNP
: 	 :
In 	 IN
2015 	 CD
, 	 ,
the 	 DT
Swiss 	 NNP
Agency 	 NNP
for 	 IN
Development 	 NNP
and 	 CC
Cooperation 	 NNP
( 	 -LRB-
SDC 	 NNP
) 	 -RRB-
funded 	 VBD
scientific 	 JJ
research 	 NN
to 	 IN
the 	 DT
tune 	 NN
of 	 IN
some 	 DT
CHF 	 NNP
51.3 	 CD
million 	 CD
in 	 IN
the 	 DT
form 	 NN
of 	 IN
framework 	 NN
credits 	 NNS
. 	 .
This 	 DT
is 	 VBZ
part 	 NN
of 	 IN
its 	 PRP$
mandate 	 NN
. 	 .
The 	 DT
annual 	 JJ
benchmark 	 NN
for 	 IN
development 	 NN
research 	 NN
is 	 VBZ
CHF 	 NNP
50 	 CD
million 	 CD
. 	 .
Of 	 IN
this 	 DT
, 	 ,
the 	 DT
biggest 	 JJS
amount 	 NN
is 	 VBZ
invested 	 VBN
in 	 IN
international 	 JJ
agricultural 	 JJ
research 	 NN
. 	 .
Just 	 RB
how 	 WRB
much 	 JJ
money 	 NN
flows 	 VBZ
into 	 IN
development 	 NN
research 	 NN
in 	 IN
Switzerland 	 NNP
as 	 IN
a 	 DT
whole 	 NN
is 	 VBZ
difficult 	 JJ
to 	 TO
determine 	 VB
. 	 .
Besides 	 IN
the 	 DT
SDC 	 NNP
, 	 ,
universities 	 NNS
, 	 ,
foundations 	 NNS
, 	 ,
NGOs 	 NNPS
and 	 CC
other 	 JJ
organisations 	 NNS
also 	 RB
invest 	 VBP
in 	 IN
this 	 DT
sector 	 NN
. 	 .

 	 _SP

 	 _SP
r4d 	 NNP
programme 	 NN

 	 _SP
In 	 IN
the 	 DT
Swiss 	 NNP
Programme 	 NNP
for 	 IN
Research 	 NNP
on 	 IN
Global 	 NNP
Issues 	 NNP
for 	 IN
Development 	 NNP
( 	 -LRB-
the 	 DT
r4d 	 NNP
programme 	 NN
) 	 -RRB-
, 	 ,
the 	 DT
Swiss 	 NNP
Agency 	 NNP
for 	 IN
Development 	 NNP
and 	 CC
Cooperation 	 NNP
( 	 -LRB-
SDC 	 NNP
) 	 -RRB-
and 	 CC
the 	 DT
SNSF 	 NNP
together 	 RB
support 	 VBP
transnational 	 JJ
research 	 NN
partnerships 	 NNS
with 	 IN
countries 	 NNS
in 	 IN
Africa 	 NNP
, 	 ,
Asia 	 NNP
and 	 CC
Latin 	 NNP
America 	 NNP
. 	 .
The 	 DT
programme 	 NN
replaces 	 VBZ
traditional 	 JJ
North 	 NNP
- 	 HYPH
South 	 NNP
research 	 NN
and 	 CC
is 	 VBZ
intended 	 VBN
to 	 TO
provide 	 VB
funds 	 NNS
for 	 IN
global 	 JJ
sustainable 	 JJ
development 	 NN
. 	 .
Between 	 IN
2012 	 CD
and 	 CC
2022 	 CD
, 	 ,
almost 	 RB
CHF 	 NNP
98 	 CD
million 	 CD
is 	 VBZ
being 	 VBG
provided 	 VBN
. 	 .
Researchers 	 NNS
have 	 VBP
to 	 TO
apply 	 VB
for 	 IN
monies 	 NNS
from 	 IN
the 	 DT
rd4 	 NNP
programme 	 NN
in 	 IN
a 	 DT
competitive 	 JJ
process 	 NN
. 	 .
Up 	 IN
to 	 IN
now 	 RB
, 	 ,
225 	 CD
research 	 NN
partners 	 NNS
in 	 IN
41 	 CD
projects 	 NNS
across 	 IN
42 	 CD
countries 	 NNS
have 	 VBP
participated 	 VBN
. 	 .

 	 _SP
Swiss 	 JJ
TPH 	 NNP

 	 _SP
The 	 DT
Swiss 	 NNP
Tropical 	 NNP
and 	 CC
Public 	 NNP
Health 	 NNP
Institute 	 NNP
in 	 IN
Basel 	 NNP
( 	 -LRB-
Swiss 	 NNP
TPH 	 NNP
) 	 -RRB-
was 	 VBD
founded 	 VBN
in 	 IN
1944 	 CD
. 	 .
It 	 PRP
is 	 VBZ
recognised 	 VBN
across 	 IN
the 	 DT
world 	 NN
as 	 IN
a 	 DT
leading 	 VBG
institution 	 NN
in 	 IN
the 	 DT
fields 	 NNS
of 	 IN
tropical 	 JJ
diseases 	 NNS
and 	 CC
public 	 JJ
health 	 NN
. 	 .
In 	 IN
competitive 	 JJ
tenders 	 NNS
, 	 ,
the 	 DT
TPH 	 NNP
regularly 	 RB
competes 	 VBZ
successfully 	 RB
against 	 IN
consulting 	 VBG
companies 	 NNS
. 	 .
At 	 IN
present 	 NN
, 	 ,
the 	 DT
TPH 	 NNP
employs 	 VBZ
over 	 IN
700 	 CD
people 	 NNS
from 	 IN
more 	 JJR
than 	 IN
60 	 CD
countries 	 NNS
. 	 .
Just 	 RB
under 	 IN
half 	 NN
of 	 IN
its 	 PRP$
2015 	 CD
expenditure 	 NN
of 	 IN
CHF 	 NNP
76.7 	 CD
million 	 CD
was 	 VBD
spent 	 VBN
on 	 IN
research 	 NN
. 	 .

 	 _SP
Universities 	 NNS

 	 _SP
Almost 	 RB
all 	 DT
Swiss 	 JJ
universities 	 NNS
are 	 VBP
involved 	 VBN
in 	 IN
development 	 NN
research 	 NN
. 	 .
The 	 DT
best 	 RBS
- 	 HYPH
known 	 VBN
example 	 NN
is 	 VBZ
the 	 DT
Graduate 	 NNP
Institute 	 NNP
of 	 IN
International 	 NNP
and 	 CC
Development 	 NNP
Studies 	 NNPS
( 	 -LRB-
IHEID 	 NNP
) 	 -RRB-
of 	 IN
Geneva 	 NNP
, 	 ,
which 	 WDT
researches 	 VBZ
in 	 IN
areas 	 NNS
such 	 JJ
as 	 IN
peace 	 NN
- 	 HYPH
building 	 NN
, 	 ,
the 	 DT
environment 	 NN
, 	 ,
trade 	 NN
, 	 ,
migration 	 NN
and 	 CC
health 	 NN
( 	 -LRB-
also 	 RB
under 	 IN
the 	 DT
auspices 	 NNS
of 	 IN
the 	 DT
United 	 NNP
Nations 	 NNP
) 	 -RRB-
. 	 .
Another 	 DT
example 	 NN
is 	 VBZ
the 	 DT
International 	 NNP
Graduate 	 NNP
School 	 NNP
North- 	 NNP
South 	 NNP
( 	 -LRB-
IGS 	 NNP
) 	 -RRB-
at 	 IN
the 	 DT
Center 	 NNP
for 	 IN
Development 	 NNP
and 	 CC
