Title 	 NE
: 	 $.
Auf 	 APPR
der 	 ART
Suche 	 NN
nach 	 APPR
fairer 	 ADJA
Forschung 	 NN

 	 _SP
Author 	 NN
: 	 $.
Ochieng 	 NE
' 	 $(
Ogodo 	 ADJA

 	 _SP
Abstract 	 NN
: 	 $.
Westliche 	 ADJA
Forschende 	 NN
sollten 	 VMFIN
ihren 	 PPOSAT
Partnerteams 	 NN
im 	 APPRART
Süden 	 NN
mehr 	 PIAT
Verantwortung 	 NN
übertragen 	 VVPP
. 	 $.

 	 _SP

 	 _SP
Medizintechnik 	 NN
aus 	 APPR
dem 	 ART
Westen 	 NN
hält 	 VVFIN
tropischer 	 ADJA
Witterung 	 NN
nicht 	 PTKNEG
stand 	 VVFIN
, 	 $,
auch 	 ADV
fehlen 	 ADJA
Ersatzteile 	 NN
. 	 $.
Die 	 ART
Folge 	 NN
der 	 ART
unzuverlässigen 	 ADJA
Geräte 	 NN
ist 	 VAFIN
fehlendes 	 ADJA
Vertrauen 	 NN
– 	 $(
unverkennbar 	 ADJD
im 	 APPRART
Blick 	 NN
des 	 ART
Patienten 	 NN
beim 	 APPRART
Röntgen 	 NN
. 	 $.
Die 	 ART
Bilder 	 NN
hat 	 VAFIN
der 	 ART
Schweizer 	 ADJA
Fotograf 	 NN
Sylvain 	 NE
Liechti 	 NE
2015 	 CARD
in 	 APPR
den 	 ART
Spitälern 	 NN
Kameruns 	 NN
aufgenommen 	 VVPP
. 	 $.
Sie 	 PPER
entstanden 	 VVFIN
für 	 APPR
eine 	 ART
Ausstellung 	 NN
an 	 APPR
der 	 ART
EPFL 	 NE
über 	 APPR
die 	 ART
Herausforderungen 	 NN
der 	 ART
Medizinaltechnik 	 NN
in 	 APPR
den 	 ART
Ländern 	 NN
des 	 ART
globalen 	 ADJA
Südens 	 NN
. 	 $.
Mehrere 	 PIAT
Projekte 	 NN
des 	 ART
EPFL-EssentialTech-Programms 	 NN
am 	 APPRART
Zentrum 	 NN
für 	 APPR
Zusammenarbeit 	 NN
und 	 KON
Entwicklung 	 NN
, 	 $,
CODEV 	 NE
, 	 $,
sind 	 VAFIN
an 	 APPR
der 	 ART
Entwicklung 	 NN
medizinischer 	 ADJA
Geräte 	 NN
für 	 APPR
Entwicklungsländer 	 NN
beteiligt 	 VVPP
. 	 $.
Im 	 APPRART
Projekt 	 NN
GlobalDiagnostiX 	 NE
zum 	 APPRART
Beispiel 	 NN
wird 	 VAFIN
an 	 APPR
einem 	 ART
digitalen 	 ADJA
