Title 	 PROPN___
: 	 PUNCT___
Le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
joker 	 NOUN__Gender=Masc|Number=Sing
du 	 DET__Gender=Masc|Number=Sing
double 	 NOUN__Gender=Masc|Number=Sing
usage 	 NOUN__Gender=Masc|Number=Sing

 	 _SP
Author 	 PROPN___
: 	 PUNCT___
Roland 	 PROPN__Gender=Masc|Number=Sing
Fischer 	 PROPN___

 	 _SP
Abstract 	 PROPN___
: 	 PUNCT___
Les 	 DET__Definite=Def|Number=Plur|PronType=Art
hautes 	 NOUN__Gender=Fem|Number=Plur
écoles 	 ADJ__Gender=Fem|Number=Plur
helvétiques 	 ADJ__Number=Plur
ne 	 ADV__Polarity=Neg
parlent 	 VERB__Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
pas 	 ADV__Polarity=Neg
volontiers 	 NOUN__Gender=Masc|Number=Plur
de 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
recherche 	 NOUN__Gender=Fem|Number=Sing
sur 	 ADP___
les 	 DET__Definite=Def|Number=Plur|PronType=Art
armes 	 NOUN__Gender=Fem|Number=Plur
. 	 PUNCT___
Leur 	 DET__Number=Sing|Poss=Yes
argument 	 NOUN__Gender=Masc|Number=Sing
: 	 PUNCT___
une 	 DET__Definite=Ind|Gender=Fem|Number=Sing|PronType=Art
étude 	 NOUN__Gender=Fem|Number=Sing
à 	 ADP___
vocation 	 NOUN__Gender=Fem|Number=Sing
civile 	 ADJ__Gender=Fem|Number=Sing
peut 	 AUX__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
toujours 	 ADV___
déboucher 	 VERB__VerbForm=Inf
sur 	 ADP___
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
utilisations 	 NOUN__Gender=Fem|Number=Plur
militaires 	 ADJ__Number=Plur
. 	 PUNCT___
C’ 	 NOUN__Gender=Masc|Number=Sing
est 	 AUX__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
fameux 	 NOUN__Gender=Masc|Number=Sing
« 	 PUNCT___
double 	 AUX__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
usage 	 NOUN__Gender=Masc|Number=Sing
» 	 PRON__PronType=Rel
. 	 PUNCT___

 	 _SP

 	 _SP
