Title 	 NE
: 	 $.
Der 	 ART
Dual 	 NE
Use 	 NE
Joker 	 NE

 	 _SP
Author 	 NN
: 	 $.
Roland 	 NE
Fischer 	 NE

 	 _SP
Abstract 	 NN
: 	 $.
Schweizer 	 ADJA
Hochschulen 	 NN
reden 	 VVFIN
nicht 	 PTKNEG
gern 	 ADV
über 	 APPR
Waffenforschung 	 NN
. 	 $.
Sie 	 PPER
argumentieren 	 VVFIN
, 	 $,
zivil 	 VVFIN
ausgerichtete 	 ADJA
Forschung 	 NN
könne 	 VMFIN
immer 	 ADV
auch 	 ADV
militärisch 	 ADJD
genutzt 	 VVPP
werden 	 VAINF
. 	 $.

 	 _SP

 	 _SP
Spielzeuggewehr 	 ADV
, 	 $,
2014 	 CARD
. 	 $.
Gebaut 	 VVPP
von 	 APPR
einem 	 ART
Besucher 	 NN
der 	 ART
Bauhütte 	 NN
von 	 APPR
Max 	 NE
Brück 	 NE
am 	 APPRART
Rundgang 	 NN
der 	 ART
Hochschule 	 NN
für 	 APPR
Gestaltung 	 NN
Offenbach 	 NE
. 	 $.
Thema 	 NN
: 	 $.
Waffenspielzeuge 	 NN
der 	 ART
Kindheit 	 NN
nachbauen 	 VVINF
. 	 $.
Die 	 ART
Resonanz 	 NN
auf 	 APPR
den 	 ART
Workshop 	 NN
war 	 VAFIN
ähnlich 	 ADJD
wie 	 KOKOM
die 	 ART
Reaktion 	 NN
auf 	 APPR
Waffen 	 NN
selber 	 ADV
, 	 $,
zwischen 	 APPR
Faszination 	 NN
und 	 KON
totaler 	 ADJA
Ablehnung 	 NN
. 	 $.
| 	 NE
Bild 	 NN
: 	 $.
Janine 	 NE
Bächle 	 NN

 	 _SP
Darf 	 VMFIN
eine 	 ART
Hochschule 	 NN
Waffen 	 NN
entwickeln 	 VVINF
und 	 KON
Wissen 	 NN
gewinnen 	 VVINF
, 	 $,
das 	 PRELS
für 	 APPR
kriegerische 	 ADJA
Zwecke 	 NN
eingesetzt 	 VVPP
werden 	 VAINF
kann 	 VMFIN
? 	 $.
Diese 	 PDAT
komplexe 	 ADJA
Frage 	 NN
ist 	 VAFIN
ein 	 ART
politisches 	 ADJA
