Title 	 NN
: 	 :
The 	 DT
quest 	 NN
for 	 IN
fair 	 JJ
research 	 NN

 	 _SP
Author 	 NN
: 	 :
Ochieng 	 NNP
' 	 ``
Ogodo 	 NNP

 	 _SP
Abstract 	 JJ
: 	 :
Western 	 JJ
researchers 	 NNS
should 	 MD
share 	 VB
more 	 JJR
responsibilities 	 NNS
with 	 IN
their 	 PRP$
colleagues 	 NNS
from 	 IN
the 	 DT
South 	 NNP
. 	 .

 	 _SP

 	 _SP
Medical 	 JJ
technology 	 NN
from 	 IN
the 	 DT
West 	 NNP
ca 	 MD
n’t 	 RB
withstand 	 VB
tropical 	 JJ
weather 	 NN
, 	 ,
and 	 CC
spare 	 JJ
parts 	 NNS
are 	 VBP
rare 	 JJ
. 	 .
The 	 DT
consequence 	 NN
of 	 IN
unreliable 	 JJ
equipment 	 NN
is 	 VBZ
a 	 DT
lack 	 NN
of 	 IN
trust 	 NN
– 	 :
which 	 WDT
we 	 PRP
can 	 MD
clearly 	 RB
see 	 VB
in 	 IN
the 	 DT
face 	 NN
of 	 IN
the 	 DT
patient 	 NN
being 	 VBG
X 	 NN
- 	 JJ
rayed 	 VBN
. 	 .
The 	 DT
Swiss 	 JJ
photographer 	 NN
Sylvain 	 NNP
Liechti 	 NNP
took 	 VBD
these 	 DT
photos 	 NNS
in 	 IN
hospitals 	 NNS
in 	 IN
Cameroon 	 NNP
in 	 IN
2015 	 CD
for 	 IN
an 	 DT
exhibition 	 NN
at 	 IN
EPFL 	 NNP
about 	 IN
the 	 DT
challenges 	 NNS
of 	 IN
medical 	 JJ
technology 	 NN
in 	 IN
the 	 DT
Global 	 NNP
South 	 NNP
. 	 .
Several 	 JJ
projects 	 NNS
at 	 IN
EPFL 	 NNP
’s 	 POS
EssentialTech 	 NNP
Programmes 	 NNPS
at 	 IN
the 	 DT
Cooperation 	 NNP
& 	 CC
Development 	 NNP
Center 	 NNP
CODEV 	 NNP
are 	 VBP
involved 	 VBN
in 	 IN
making 	 VBG
medical 	 JJ
equipment 	 NN
for 	 IN
developing 	 VBG
countries 	 NNS
. 	 .
The 	 DT
GlobalDiagnostix 	 NNP
project 	 NN
, 	 ,
for 	 IN
example 	 NN
, 	 ,
is 	 VBZ
working 	 VBG
on 	 IN
a 	 DT
digital 	 JJ
X 	 NN
- 	 NN
ray 	 NN
machine 	 NN
, 	 ,
while 	 IN
GlobalNeonat 	 NNP
is 	 VBZ
developing 	 VBG
a 	 DT
suitable 	 JJ
incubator 	 NN
. 	 .

 	 _SP
Research 	 NN
has 	 VBZ
gone 	 VBN
global 	 JJ
. 	 .
Finding 	 VBG
solutions 	 NNS
to 	 IN
problems 	 NNS
in 	 IN
developing 	 VBG
nations 	 NNS
today 	 NN
also 	 RB
means 	 VBZ
tackling 	 VBG
global 	 JJ
issues 	 NNS
that 	 WDT
have 	 VBP
an 	 DT
impact 	 NN
on 	 IN
the 	 DT
West 	 NNP
, 	 ,
such 	 JJ
as 	 IN
climate 	 NN
change 	 NN
and 	 CC
migration 	 NN
. 	 .
The 	 DT
success 	 NN
of 	 IN
this 	 DT
research 	 NN
will 	 MD
depend 	 VB
on 	 IN
the 	 DT
ability 	 NN
of 	 IN
northern 	 JJ
and 	 CC
southern 	 JJ
institutions 	 NNS
to 	 TO
work 	 VB
together 	 RB
efficiently 	 RB
. 	 .
“ 	 ``
Research 	 NN
capacity 	 NN
in 	 IN
the 	 DT
South 	 NNP
has 	 VBZ
been 	 VBN
strengthened 	 VBN
over 	 IN
the 	 DT
past 	 JJ
15 	 CD
years 	 NNS
” 	 ''
, 	 ,
says 	 VBZ
Gilles 	 NNP
Carbonnier 	 NNP
of 	 IN
the 	 DT
Graduate 	 NNP
Institute 	 NNP
of 	 IN
International 	 NNP
and 	 CC
Development 	 NNP
Studies 	 NNPS
in 	 IN
Geneva 	 NNP
. 	 .
Countries 	 NNS
like 	 IN
Ghana 	 NNP
, 	 ,
Indonesia 	 NNP
, 	 ,
Peru 	 NNP
, 	 ,
South 	 NNP
Africa 	 NNP
and 	 CC
many 	 JJ
others 	 NNS
in 	 IN
the 	 DT
Global 	 NNP
South 	 NNP
have 	 VBP
grown 	 VBN
richer 	 JJR
, 	 ,
while 	 IN
traditional 	 JJ
divides 	 NNS
are 	 VBP
shifting 	 VBG
between 	 IN
the 	 DT
developed 	 VBN
and 	 CC
the 	 DT
developing 	 VBG
, 	 ,
rich 	 JJ
and 	 CC
poor 	 JJ
. 	 .
