Title 	 NN
: 	 :
The 	 DT
long 	 JJ
march 	 NN
to 	 TO
open 	 VB
science 	 NN

 	 _SP
Author 	 NN
: 	 :
Sven 	 NNP
Titz 	 NNP

 	 _SP
Abstract 	 JJ
: 	 :
Many 	 JJ
researchers 	 NNS
are 	 VBP
positive 	 JJ
about 	 IN
the 	 DT
new 	 JJ
, 	 ,
burgeoning 	 VBG
science 	 NN
culture 	 NN
, 	 ,
but 	 CC
they 	 PRP
still 	 RB
hesitate 	 VBP
to 	 TO
enter 	 VB
into 	 IN
an 	 DT
open 	 JJ
exchange 	 NN
of 	 IN
knowledge 	 NN
. 	 .
There 	 EX
are 	 VBP
many 	 JJ
reasons 	 NNS
why 	 WRB
– 	 :
such 	 JJ
as 	 IN
a 	 DT
lack 	 NN
of 	 IN
knowledge 	 NN
about 	 IN
data 	 NNS
management 	 NN
and 	 CC
the 	 DT
fear 	 NN
of 	 IN
intellectual 	 JJ
property 	 NN
theft 	 NN
. 	 .

 	 _SP

 	 _SP
More 	 RBR
transparent 	 JJ
, 	 ,
more 	 RBR
collaborative 	 JJ
: 	 :
research 	 NN
has 	 VBZ
to 	 TO
reinvent 	 VB
itself 	 PRP
. 	 .
But 	 CC
how 	 WRB
? 	 .

 	 _SP
Scientists 	 NNS
disclose 	 VBP
all 	 DT
their 	 PRP$
study 	 NN
plans 	 NNS
and 	 CC
experimental 	 JJ
designs 	 NNS
; 	 :
they 	 PRP
write 	 VBP
daily 	 JJ
blogs 	 NNS
about 	 IN
their 	 PRP$
progress 	 NN
in 	 IN
the 	 DT
lab 	 NN
, 	 ,
revealing 	 VBG
every 	 DT
detail 	 NN
; 	 :
and 	 CC
then 	 RB
they 	 PRP
publish 	 VBP
in 	 IN
open 	 JJ
- 	 HYPH
access 	 NN
journals 	 NNS
that 	 WDT
are 	 VBP
assessed 	 VBN
through 	 IN
an 	 DT
open 	 JJ
peer 	 NN
- 	 HYPH
review 	 NN
process 	 NN
. 	 .
And 	 CC
their 	 PRP$
results 	 NNS
are 	 VBP
stored 	 VBN
in 	 IN
databases 	 NNS
that 	 WDT
are 	 VBP
on 	 IN
open 	 JJ
access 	 NN
to 	 IN
everyone 	 NN
. 	 .
This 	 DT
is 	 VBZ
the 	 DT
utopia 	 NN
of 	 IN
open 	 JJ
science 	 NN
. 	 .

 	 _SP
Are 	 VBP
we 	 PRP
about 	 IN
to 	 TO
attain 	 VB
such 	 PDT
a 	 DT
state 	 NN
of 	 IN
transparent 	 JJ
research 	 NN
? 	 .
Well 	 UH
, 	 ,
things 	 NNS
are 	 VBP
unlikely 	 JJ
to 	 TO
develop 	 VB
quite 	 RB
so 	 RB
straightforwardly 	 RB
. 	 .
Sometimes 	 RB
it 	 PRP
's 	 VBZ
because 	 IN
there 	 EX
's 	 VBZ
just 	 RB
not 	 RB
enough 	 JJ
money 	 NN
. 	 .
Sometimes 	 RB
people 	 NNS
are 	 VBP
n't 	 RB
in 	 IN
a 	 DT
position 	 NN
to 	 TO
set 	 VB
up 	 RP
the 	 DT
required 	 VBN
databases 	 NNS
. 	 .
And 	 CC
sometimes 	 RB
scientists 	 NNS
hesitate 	 VBP
to 	 TO
reveal 	 VB
their 	 PRP$
data 	 NNS
because 	 IN
they 	 PRP
fear 	 VBP
that 	 IN
competitors 	 NNS
could 	 MD
steal 	 VB
their 	 PRP$
ideas 	 NNS
and 	 CC
publish 	 VB
them 	 PRP
first 	 RB
. 	 .

 	 _SP
Tougher 	 JJR
than 	 IN
expected 	 VBN

 	 _SP
The 	 DT
successes 	 NNS
achieved 	 VBN
by 	 IN
Big 	 NNP
Science 	 NNP
in 	 IN
laying 	 VBG
open 	 JJ
research 	 NN
data 	 NNS
are 	 VBP
deceptive 	 JJ
– 	 :
whether 	 IN
at 	 IN
the 	 DT
nuclear 	 NNP
research 	 NNP
centre 	 NNP
CERN 	 NNP
or 	 CC
in 	 IN
genetics 	 NN
research 	 NN
. 	 .
In 	 IN
many 	 JJ
fields 	 NNS
outside 	 IN
the 	 DT
big 	 JJ
projects 	 NNS
, 	 ,
there 	 EX
are 	 VBP
still 	 RB
major 	 JJ
obstacles 	 NNS
to 	 TO
progress 	 VB
. 	 .
It 	 PRP
's 	 VBZ
easy 	 JJ
to 	 TO
insist 	 VB
that 	 IN
data 	 NNS
should 	 MD
be 	 VB
made 	 VBN
freely 	 RB
available 	 JJ
. 	 .
But 	 CC
individual 	 JJ
researchers 	 NNS
who 	 WP
