Title 	 NE
: 	 $.
Der 	 ART
steinige 	 ADJA
Weg 	 NN
zu 	 APPR
mehr 	 PIAT
Erkenntnis 	 NN

 	 _SP
Author 	 NN
: 	 $.
Theodora 	 NE
Peter 	 NE

 	 _SP
Abstract 	 NE
: 	 $.
Jedes 	 PIAT
Jahr 	 NN
fliessen 	 VVFIN
weltweit 	 ADJD
dreistellige 	 ADJA
Milliardenbeträge 	 NN
in 	 APPR
die 	 ART
Entwicklungszusammenarbeit 	 NN
. 	 $.
Doch 	 KON
welche 	 PWAT
Wirkung 	 NN
erzielt 	 VVFIN
diese 	 PDS
effektiv 	 ADJD
? 	 $.
Kritiker 	 NN
plädieren 	 VVFIN
für 	 APPR
mehr 	 PIAT
experimentelle 	 ADJA
Feldforschung 	 NN
. 	 $.
Experten 	 NN
sehen 	 VVFIN
den 	 ART
Königsweg 	 NN
in 	 APPR
einem 	 ART
intelligenten 	 ADJA
Methodenmix 	 NN
. 	 $.

 	 _SP

 	 _SP
Patientendossiers 	 NN
werden 	 VAFIN
zwar 	 ADV
archiviert 	 VVPP
, 	 $,
aber 	 KON
es 	 PPER
ist 	 VAFIN
beinahe 	 ADV
unmöglich 	 ADJD
, 	 $,
sie 	 PPER
innert 	 VVFIN
nützlicher 	 ADJA
Frist 	 NN
zu 	 PTKZU
finden 	 VVINF
, 	 $,
wenn 	 KOUS
sie 	 PPER
gebraucht 	 VVPP
werden 	 VAFIN
. 	 $.
Funktionierende 	 ADJA
Computer 	 NN
und 	 KON
eine 	 ART
IT-Infrastruktur 	 NN
fehlen 	 VVFIN
an 	 APPR
den 	 ART
meisten 	 PIAT
Spitälern 	 NN

 	 _SP
« 	 $(
Kein 	 PIAT
verantwortungsvoller 	 ADJA
Arzt 	 NN
würde 	 VAFIN
Medikamente 	 NN
verschreiben 	 VVINF
, 	 $,
deren 	 PRELAT
Wirkungen 	 NN
und 	 KON
Nebenwirkungen 	 NN
nicht 	 PTKNEG
fachgerecht 	 ADJD
überprüft 	 VVPP
wurden 	 VAFIN
. 	 $.
Doch 	 KON
bei 	 APPR
sozialen 	 ADJA
Entwicklungsprogrammen 	 NN
, 	 $,
in 	 APPR
