Title 	 NN
: 	 :
The 	 DT
genetic 	 JJ
material 	 NN
of 	 IN
Swiss 	 JJ
innovation 	 NN

 	 _SP
Author 	 NN
: 	 :
Maurice 	 NNP
Campagna 	 NNP

 	 _SP
Abstract 	 NNP
: 	 :

 	 _SP
Image 	 NN
: 	 :
Valérie 	 NNP
Chételat 	 NNP

 	 _SP
' 	 ``
Deoxyribonucleic 	 NNP
acid 	 NN
' 	 ''
is 	 VBZ
twenty 	 CD
letters 	 NNS
describing 	 VBG
a 	 DT
discovery 	 NN
as 	 RB
simple 	 JJ
as 	 IN
it 	 PRP
is 	 VBZ
complex 	 JJ
. 	 .
Living 	 VBG
things 	 NNS
write 	 VBP
their 	 PRP$
code 	 NN
in 	 IN
their 	 PRP$
genetic 	 JJ
material 	 NN
with 	 IN
only 	 RB
four 	 CD
nucleobases 	 NNS
: 	 :
adenine 	 NN
( 	 -LRB-
A 	 NNP
) 	 -RRB-
, 	 ,
thymine 	 NN
( 	 -LRB-
T 	 NNP
) 	 -RRB-
, 	 ,
guanine 	 NN
( 	 -LRB-
G 	 NN
) 	 -RRB-
and 	 CC
cytosine 	 NN
( 	 -LRB-
C 	 NNP
) 	 -RRB-
. 	 .
We 	 PRP
all 	 DT
know 	 VBP
the 	 DT
abbreviation 	 NN
stemming 	 VBG
from 	 IN
this 	 DT
discovery 	 NN
: 	 :
DNA 	 NN
. 	 .
Just 	 RB
as 	 IN
we 	 PRP
all 	 DT
know 	 VBP
how 	 WRB
it 	 PRP
’s 	 VBZ
depicted 	 VBN
geometrically 	 RB
: 	 :
as 	 IN
a 	 DT
double 	 JJ
helix 	 NN
. 	 .
The 	 DT
origins 	 NNS
of 	 IN
the 	 DT
discovery 	 NN
lie 	 NN
in 	 IN
the 	 DT
1860s 	 NNS
, 	 ,
when 	 WRB
the 	 DT
Swiss 	 JJ
doctor 	 NN
Friedrich 	 NNP
Miescher 	 NNP
discovered 	 VBD
a 	 DT
substance 	 NN
that 	 WDT
he 	 PRP
found 	 VBD
in 	 IN
an 	 DT
extract 	 NN
of 	 IN
pus 	 NN
. 	 .
He 	 PRP
called 	 VBD
it 	 PRP
‘ 	 ``
nuclein 	 NNP
’ 	 ''
. 	 .
It 	 PRP
was 	 VBD
only 	 RB
after 	 IN
innumerable 	 JJ
experiments 	 NNS
by 	 IN
many 	 JJ
researchers 	 NNS
that 	 IN
James 	 NNP
Watson 	 NNP
, 	 ,
Francis 	 NNP
Crick 	 NNP
and 	 CC
Maurice 	 NNP
Wilkins 	 NNPS
were 	 VBD
awarded 	 VBN
the 	 DT
Nobel 	 NNP
Prize 	 NNP
for 	 IN
Medicine 	 NNP
in 	 IN
1962 	 CD
for 	 IN
decoding 	 VBG
the 	 DT
molecular 	 JJ
structure 	 NN
of 	 IN
the 	 DT
nucleic 	 NNS
acids 	 NNS
and 	 CC
for 	 IN
determining 	 VBG
their 	 PRP$
significance 	 NN
in 	 IN
transmitting 	 VBG
information 	 NN
in 	 IN
living 	 VBG
things 	 NNS
. 	 .
ATGC 	 UH
– 	 :
no 	 DT
more 	 JJR
and 	 CC
no 	 DT
less 	 JJR
. 	 .

 	 _SP
The 	 DT
model 	 NN
of 	 IN
the 	 DT
double 	 JJ
helix 	 NN
might 	 MD
have 	 VB
inspired 	 VBN
biochemists 	 NNS
to 	 TO
begin 	 VB
describing 	 VBG
processes 	 NNS
in 	 IN
living 	 NN
creatures 	 NNS
, 	 ,
but 	 CC
it 	 PRP
also 	 RB
did 	 VBD
a 	 DT
lot 	 NN
more 	 JJR
besides 	 RB
. 	 .
Two 	 CD
natural 	 JJ
scientists 	 NNS
showed 	 VBD
not 	 RB
so 	 RB
long 	 RB
ago 	 RB
that 	 IN
the 	 DT
double 	 JJ
helix 	 NN
can 	 MD
be 	 VB
used 	 VBN
to 	 TO
store 	 VB
data 	 NNS
– 	 :
from 	 IN
books 	 NNS
and 	 CC
photos 	 NNS
to 	 IN
films 	 NNS
and 	 CC
music 	 NN
. 	 .
Architects 	 NNS
use 	 VBP
the 	 DT
spiral 	 NN
of 	 IN
the 	 DT
gene 	 NN
as 	 IN
a 	 DT
reference 	 NN
point 	 NN
when 	 WRB
designing 	 VBG
skyscrapers 	 NNS
. 	 .
And 	 CC
hair 	 NN
stylists 	 NNS
braid 	 VBD
long 	 JJ
hair 	 NN
into 	 IN
pigtails 	 NNS
with 	 IN
double 	 JJ
plaits 	 NNS
. 	 .

 	 _SP
The 	 DT
