Title 	 NE
: 	 $.
Federn 	 NN
der 	 ART
Stille 	 NN

 	 _SP
Author 	 NN
: 	 $.
Daniel 	 NE
Saraga 	 NE

 	 _SP
Abstract 	 NE
: 	 $.

 	 _SP
Bild 	 NN
: 	 $.
EMPA/Fotograf 	 $.
Beat 	 NE
Geyer 	 NE

 	 _SP
Das 	 ART
futuristische 	 ADJA
Gebilde 	 NN
aus 	 APPR
federartigen 	 ADJA
Strukturen 	 NN
dient 	 VVFIN
einem 	 ART
Ziel 	 NN
: 	 $.
Lärm 	 NN
zu 	 PTKZU
dämpfen 	 VVINF
. 	 $.
« 	 $(
Mit 	 APPR
einer 	 ART
Grösse 	 NN
von 	 APPR
50 	 CARD
mal 	 ADV
50 	 CARD
Zentimetern 	 NN
könnte 	 VMFIN
es 	 PPER
eines 	 ART
Tages 	 NN
in 	 APPR
Gebäuden 	 NN
, 	 $,
Fahrzeugen 	 NN
oder 	 KON
Flugzeugen 	 NN
Verwendung 	 NN
finden 	 VVINF
» 	 $(
, 	 $,
erklärt 	 VVFIN
der 	 ART
Erfinder 	 NN
, 	 $,
Andrea 	 NE
Bergamini 	 NE
von 	 APPR
der 	 ART
Empa 	 NN
in 	 APPR
Dübendorf 	 NE
. 	 $.

 	 _SP
Bei 	 APPR
diesem 	 PDAT
Gebilde 	 NN
handelt 	 VVFIN
sich 	 PRF
um 	 APPR
ein 	 ART
bemerkenswertes 	 ADJA
Beispiel 	 NN
von 	 APPR
phononischen 	 ADJA
Kristallen 	 NN
: 	 $.
periodische 	 ADJA
Strukturen 	 NN
, 	 $,
die 	 PRELS
gezielt 	 ADJD
so 	 ADV
zusammengestellt 	 VVPP
sind 	 VAFIN
, 	 $,
dass 	 KOUS
sie 	 PPER
Schallwellen 	 NN
absorbieren 	 VVINF
oder 	 KON
ablenken 	 VVINF
. 	 $.
« 	 $(
Das 	 PDS
ist 	 VAFIN
ein 	 ART
ziemlich 	 ADV
neues 	 ADJA
Forschungsgebiet 	 NN
» 	 $(
, 	 $,
sagt 	 VVFIN
Bergamini 	 NE
. 	 $.
Der 	 ART
Name 	 NN
verweist 	 VVFIN
auf 	 APPR
Phonone 	 NN
– 	 $(
Schwingungen 	 NN
, 	 $,
die 	 PRELS
sich 	 PRF
in 	 APPR
Festkörpern 	 NN
ausbreiten 	 VVFIN
und 	 KON
Analogien 	 NN
zu 	 APPR
ihren 	 PPOSAT
bekannteren 	 ADJA
Verwandten 	 NN
aufweisen 	 VVFIN
, 	 $,
den 	 ART
photonischen 	 ADJA
Kristallen 	 NN
, 	 $,
die 	 ART
Licht 	 NN
blockieren 	 VVFIN
oder 	 KON
umleiten 	 ADJD
. 	 $.
Hergestellt 	 VVPP
wurde 	 VAFIN
die 	 ART
Struktur 	 NN
mit 	 APPR
einer 	 ART
3D-Drucktechnik 	 NN
, 	 $,
dem 	 ART
sogenannten 	 ADJA
Selektiven 	 NN
Lasersintern 	 NN
( 	 $(
SLS 	 NE
) 	 $(
, 	 $,
bei 	 APPR
dem 	 PRELS
Polymerpulver 	 NN
schichtenweise 	 ADJD
abgelagert 	 VVPP
und 	 KON
zur 	 APPRART
Festigung 	 NN
von 	 APPR
einem 	 ART
Laser 	 NN
geschmolzen 	 VVINF
wird 	 VAFIN
. 	 $.
« 	 $(
Wir 	 PPER
haben 	 VAFIN
federähnliche 	 ADJA
Formen 	 NN
gebildet 	 VVPP
, 	 $,
um 	 KOUI
die 	 ART
Reaktionsweise 	 NN
der 	 ART
Gesamtstruktur 	 NN
auf 	 APPR
eingehende 	 ADJA
Klangwellen 	 NN
zu 	 PTKZU
verändern 	 VVINF
. 	 $.
Die 	 ART
vier 	 CARD
Zentimeter 	 NN
breiten 	 ADJA
Ringe 	 NN
bewegen 	 VVFIN
nicht 	 PTKNEG
nur 	 ADV
nach 	 APPR
links 	 ADV
, 	 $,
rechts 	 ADV
, 	 $,
vorwärts 	 ADV
und 	 KON
rückwärts 	 ADV
wie 	 KON
kleinste 	 ADJA
Bälle 	 NN
aus 	 APPR
Materie 	 NN
, 	 $,
sondern 	 KON
können 	 VMFIN
sich 	 PRF
auch 	 ADV
um 	 APPR
ihre 	 PPOSAT
Symmetrieachse 	 NN
drehen 	 VVINF
. 	 $.
» 	 $(
Diese 	 PDAT
zusätzliche 	 ADJA
Bewegung 	 NN
ermöglichte 	 VVFIN
es 	 PPER
dem 	 ART
Forscher 	 NN
, 	 $,
vor 	 APPR
der 	 ART
Herstellung 	 NN
mehr 	 PIAT
Konfigurationen 	 NN
