Title 	 PROPN___
: 	 PUNCT___
Le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
code 	 NOUN__Gender=Masc|Number=Sing
génétique 	 ADJ__Number=Sing
de 	 ADP___
l’ 	 PROPN__Gender=Masc|Number=Sing
innovation 	 NOUN__Gender=Fem|Number=Sing
suisse 	 ADJ__Number=Sing

 	 _SP
Author 	 PROPN___
: 	 PUNCT___
Maurice 	 PROPN__Gender=Masc|Number=Sing
Campagna 	 PROPN__Gender=Fem|Number=Sing

 	 _SP
Abstract 	 NOUN__Gender=Masc|Number=Sing
: 	 PUNCT___

 	 _SP
Photo 	 NOUN__Gender=Fem|Number=Sing
: 	 PUNCT___
Valérie 	 PROPN__Gender=Masc|Number=Sing
Chételat 	 PROPN___

 	 _SP
Acide 	 NOUN__Gender=Masc|Number=Sing
désoxyribonucléique 	 ADJ__Number=Sing
. 	 PUNCT___
Deux 	 NUM__NumType=Card
mots 	 NOUN__Gender=Masc|Number=Plur
et 	 CCONJ___
24 	 NUM__NumType=Card
lettres 	 NOUN__Gender=Fem|Number=Plur
pour 	 ADP___
une 	 DET__Definite=Ind|Gender=Fem|Number=Sing|PronType=Art
découverte 	 NOUN__Gender=Fem|Number=Sing
à 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
fois 	 NOUN__Gender=Fem|Number=Sing
simple 	 ADJ__Number=Sing
et 	 CCONJ___
complexe 	 ADJ__Number=Sing
. 	 PUNCT___
Le 	 DET__Definite=Def|Gender=Masc|Number=Sing|PronType=Art
code 	 NOUN__Gender=Masc|Number=Sing
génétique 	 ADJ__Number=Sing
des 	 DET__Definite=Ind|Number=Plur|PronType=Art
êtres 	 NOUN__Gender=Fem|Number=Plur
vivants 	 ADJ__Gender=Masc|Number=Plur
s’ 	 AUX__Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
écrit 	 VERB__Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass
avec 	 ADP___
quatre 	 NUM__NumType=Card
bases 	 NOUN__Gender=Fem|Number=Plur
essentielles 	 ADJ__Gender=Fem|Number=Plur
seulement 	 ADV___
: 	 PUNCT___
