Title 	 NN
: 	 :
The 	 DT
dual 	 JJ
use 	 NN
joker 	 NN
card 	 NN

 	 _SP
Author 	 NN
: 	 :
Roland 	 NNP
Fischer 	 NNP

 	 _SP
Abstract 	 JJ
: 	 :
Swiss 	 JJ
universities 	 NNS
do 	 VBP
n’t 	 RB
like 	 VB
to 	 TO
talk 	 VB
about 	 IN
weapons 	 NNS
research 	 NN
. 	 .
They 	 PRP
argue 	 VBP
that 	 IN
even 	 RB
research 	 NN
intended 	 VBN
for 	 IN
civil 	 JJ
purposes 	 NNS
could 	 MD
always 	 RB
be 	 VB
put 	 VBN
to 	 IN
military 	 JJ
use 	 NN
. 	 .

 	 _SP

 	 _SP
Toy 	 NNP
gun 	 NN
, 	 ,
2014 	 CD
. 	 .
Made 	 VBN
by 	 IN
a 	 DT
visitor 	 NN
to 	 IN
Max 	 NNP
Brück 	 NNP
’s 	 POS
workshop 	 NN
at 	 IN
the 	 DT
Offenbach 	 NNP
University 	 NNP
of 	 IN
Art 	 NNP
and 	 CC
Design 	 NNP
. 	 .
The 	 DT
topic 	 NN
: 	 :
replicating 	 NN
toy 	 NN
weapons 	 NNS
from 	 IN
childhood 	 NN
. 	 .
The 	 DT
response 	 NN
to 	 IN
the 	 DT
workshop 	 NN
was 	 VBD
similar 	 JJ
to 	 IN
the 	 DT
reactions 	 NNS
provoked 	 VBN
by 	 IN
the 	 DT
weapons 	 NNS
themselves 	 PRP
: 	 :
a 	 DT
mixture 	 NN
of 	 IN
fascination 	 NN
and 	 CC
repulsion 	 NN
| 	 NNP
Photo 	 NNP
: 	 :
Janine 	 NNP
Bächle 	 NNP

 	 _SP
Should 	 MD
a 	 DT
university 	 NN
be 	 VB
allowed 	 VBN
to 	 TO
develop 	 VB
weapons 	 NNS
and 	 CC
acquire 	 VB
knowledge 	 NN
that 	 WDT
might 	 MD
be 	 VB
used 	 VBN
for 	 IN
the 	 DT
purposes 	 NNS
of 	 IN
war 	 NN
? 	 .
This 	 DT
is 	 VBZ
a 	 DT
complex 	 JJ
question 	 NN
, 	 ,
and 	 CC
a 	 DT
political 	 JJ
minefield 	 NN
– 	 :
as 	 IN
becomes 	 VBZ
obvious 	 JJ
when 	 WRB
you 	 PRP
try 	 VBP
and 	 CC
ask 	 VB
Swiss 	 JJ
universities 	 NNS
to 	 TO
respond 	 VB
to 	 IN
it 	 PRP
. 	 .

 	 _SP
Many 	 JJ
are 	 VBP
of 	 IN
the 	 DT
opinion 	 NN
that 	 IN
asking 	 VBG
about 	 IN
military 	 JJ
research 	 NN
is 	 VBZ
something 	 NN
purely 	 RB
hypothetical 	 JJ
. 	 .
For 	 IN
example 	 NN
, 	 ,
ETH 	 NNP
Zurich 	 NNP
explains 	 VBZ
its 	 PRP$
stance 	 NN
as 	 IN
follows 	 VBZ
: 	 :
" 	 ``
ETH 	 NNP
Zurich 	 NNP
does 	 VBZ
not 	 RB
carry 	 VB
out 	 RP
any 	 DT
weapons 	 NNS
research 	 NN
– 	 :
projects 	 NNS
that 	 WDT
are 	 VBP
exclusively 	 RB
and 	 CC
explicitly 	 RB
designed 	 VBN
to 	 TO
develop 	 VB
or 	 CC
improve 	 VB
weapons 	 NNS
. 	 .
That 	 DT
is 	 VBZ
why 	 WRB
there 	 EX
is 	 VBZ
no 	 DT
register 	 NN
of 	 IN
any 	 DT
such 	 JJ
projects 	 NNS
" 	 ''
. 	 .
The 	 DT
University 	 NNP
of 	 IN
Basel 	 NNP
clearly 	 RB
assigns 	 VBZ
even 	 RB
less 	 JJR
significance 	 NN
to 	 IN
the 	 DT
question 	 NN
of 	 IN
militarily 	 RB
useful 	 JJ
research 	 NN
( 	 -LRB-
in 	 IN
fact 	 NN
, 	 ,
it 	 PRP
assigns 	 VBZ
it 	 PRP
no 	 DT
significance 	 NN
at 	 RB
all 	 RB
) 	 -RRB-
: 	 :
