Title 	 NN
: 	 :
“ 	 ``
If 	 IN
you 	 PRP
ca 	 MD
n’t 	 RB
laugh 	 VB
, 	 ,
you 	 PRP
’ll 	 MD
discover 	 VB
nothing 	 NN
” 	 ''

 	 _SP
Author 	 NN
: 	 :
Marcel 	 NNP
Hänggi 	 NNP

 	 _SP
Abstract 	 NNP
: 	 :
Marcel 	 NNP
Tanner 	 NNP
has 	 VBZ
more 	 JJR
than 	 IN
35 	 CD
years 	 NNS
of 	 IN
experience 	 NN
in 	 IN
research 	 NN
collaborations 	 NNS
with 	 IN
countries 	 NNS
in 	 IN
the 	 DT
Global 	 NNP
South 	 NNP
. 	 .
He 	 PRP
is 	 VBZ
in 	 IN
no 	 DT
doubt 	 NN
that 	 IN
flexibility 	 NN
, 	 ,
mutual 	 JJ
respect 	 NN
and 	 CC
contextual 	 JJ
knowledge 	 NN
are 	 VBP
essential 	 JJ
to 	 IN
his 	 PRP$
work 	 NN
. 	 .

 	 _SP

 	 _SP
Image 	 NN
: 	 :
Valérie 	 NNP
Chételat 	 NNP

 	 _SP
Marcel 	 NNP
Tanner 	 NNP
’s 	 POS
pencil 	 NN
- 	 HYPH
holder 	 NN
is 	 VBZ
a 	 DT
component 	 NN
from 	 IN
the 	 DT
gearbox 	 NN
of 	 IN
a 	 DT
Land 	 NNP
Rover 	 NNP
– 	 :
it 	 PRP
’s 	 VBZ
a 	 DT
memento 	 NN
of 	 IN
the 	 DT
biggest 	 JJS
- 	 HYPH
ever 	 RB
repair 	 NN
job 	 NN
he 	 PRP
had 	 VBD
to 	 TO
undertake 	 VB
during 	 IN
his 	 PRP$
field 	 NN
trips 	 NNS
. 	 .
It 	 PRP
was 	 VBD
in 	 IN
Tanzania 	 NNP
in 	 IN
April 	 NNP
1982 	 CD
, 	 ,
he 	 PRP
recalls 	 VBZ
. 	 .
He 	 PRP
retired 	 VBD
at 	 IN
the 	 DT
beginning 	 NN
of 	 IN
this 	 DT
year 	 NN
– 	 :
in 	 IN
theory 	 NN
, 	 ,
at 	 IN
least 	 JJS
. 	 .
He 	 PRP
has 	 VBZ
moved 	 VBN
from 	 IN
  	 _SP
the 	 DT
Director 	 NNP
’s 	 POS
office 	 NN
in 	 IN
the 	 DT
Swiss 	 NNP
Tropical 	 NNP
and 	 CC
Public 	 NNP
Health 	 NNP
Institute 	 NNP
in 	 IN
Basel 	 NNP
into 	 IN
a 	 DT
smaller 	 JJR
office 	 NN
. 	 .
Art 	 NN
objects 	 VBZ
testify 	 VB
to 	 IN
his 	 PRP$
working 	 NN
visits 	 NNS
to 	 IN
Africa 	 NNP
, 	 ,
Asia 	 NNP
and 	 CC
Latin 	 NNP
America 	 NNP
. 	 .
But 	 CC
Tanner 	 NNP
is 	 VBZ
n’t 	 RB
content 	 JJ
with 	 IN
just 	 RB
babysitting 	 VBG
grandchildren 	 NNS
. 	 .
He 	 PRP
’s 	 VBZ
got 	 VBD
too 	 RB
much 	 JJ
still 	 RB
to 	 TO
do 	 VB
. 	 .
And 	 CC
he 	 PRP
does 	 VBZ
n’t 	 RB
wait 	 VB
for 	 IN
our 	 PRP$
prepared 	 JJ
questions 	 NNS
to 	 TO
