Title 	 NE
: 	 $.
Wichtige 	 ADJA
Schweizer 	 ADJA
Akteure 	 NN
in 	 APPR
der 	 ART
Entwicklungsforschung 	 NN

 	 _SP
Author 	 NN
: 	 $.
Pascale 	 NN
Hofmeier 	 NE

 	 _SP
Abstract 	 NE
: 	 $.
Jährlich 	 ADJD
fliessen 	 VVFIN
rund 	 ADV
50 	 CARD
Millionen 	 NN
Franken 	 NN
in 	 APPR
die 	 ART
Entwicklungs-forschung 	 NN
. 	 $.
2015 	 CARD
finanzierte 	 VVFIN
die 	 ART
Deza 	 NN
mit 	 APPR
rund 	 ADV
51,3 	 CARD
Millionen 	 NN
Franken 	 NN
über 	 APPR
Rahmenkredite 	 NN
der 	 ART
öffentlichen 	 ADJA
Entwicklungshilfe 	 NN
wissenschaftliche 	 ADJA
Forschung 	 NN
. 	 $.
Dies 	 PDS
ist 	 VAFIN
Teil 	 NN
ihres 	 PPOSAT
Mandats 	 NN
. 	 $.
Davon 	 PROAV
wird 	 VAFIN
der 	 ART
grösste 	 ADJA
Beitrag 	 NN
in 	 APPR
die 	 ART
internationale 	 ADJA
Landwirtschaftsforschung 	 NN
investiert 	 VVPP
. 	 $.
Wie 	 PWAV
viel 	 PIAT
Geld 	 NN
gesamtschweizerisch 	 ADJD
in 	 APPR
die 	 ART
Entwicklungsforschung 	 NN
fliesst 	 VVFIN
, 	 $,
ist 	 VAFIN
schwierig 	 ADJD
zu 	 PTKZU
ermitteln 	 VVINF
. 	 $.
Neben 	 APPR
der 	 ART
Deza 	 NN
investieren 	 VVFIN
Hochschulen 	 NN
, 	 $,
Stiftungen 	 NN
, 	 $,
NGOs 	 NN
und 	 KON
weitere 	 ADJA
Organisationen 	 NN
in 	 APPR
diesen 	 PDAT
Bereich 	 NN
. 	 $.

 	 _SP

 	 _SP
r4d-Programm 	 NE

 	 _SP
Im 	 APPRART
Swiss 	 NN
Programme 	 NE
for 	 NE
Research 	 FM
on 	 FM
Global 	 NE
Issues 	 NE
for 	 NE
Development 	 NE
( 	 $(
r4d- 	 NN
Programm 	 NN
) 	 $(
unterstützen 	 VVFIN
die 	 ART
Direktion 	 NN
für 	 APPR
Entwicklung 	 NN
und 	 KON
Zusammenarbeit 	 NN
( 	 $(
Deza 	 NE
) 	 $(
und 	 KON
der 	 ART
Schweizerische 	 ADJA
Nationalfonds 	 NN
( 	 $(
SNF 	 NE
) 	 $(
gemeinsam 	 ADJD
transnationale 	 ADJA
Forschungspartnerschaften 	 NN
mit 	 APPR
Ländern 	 NN
in 	 APPR
Afrika 	 NE
, 	 $,
Asien 	 NE
und 	 KON
Lateinamerika 	 NE
. 	 $.
Das 	 ART
Programm 	 NN
ersetzt 	 VVFIN
die 	 ART
traditionelle 	 ADJA
Nord- 	 TRUNC
Süd-Forschung 	 NN
und 	 KON
ist 	 VAFIN
darauf 	 PROAV
ausgerichtet 	 VVPP
, 	 $,
einen 	 ART
Beitrag 	 NN
für 	 APPR
die 	 ART
globale 	 ADJA
nachhaltige 	 ADJA
Entwicklung 	 NN
zu 	 PTKZU
leisten 	 VVINF
. 	 $.
Zwischen 	 APPR
2012 	 CARD
und 	 KON
2022 	 CARD
stehen 	 VVFIN
fast 	 ADV
98 	 CARD
Millionen 	 NN
Franken 	 NN
bereit 	 ADJD
. 	 $.
Forschende 	 NN
müssen 	 VMFIN
sich 	 PRF
im 	 APPRART
r4d-Programm 	 NN
in 	 APPR
kompetitiven 	 ADJA
Verfahren 	 NN
für 	 APPR
Gelder 	 NN
bewerben 	 VVINF
. 	 $.
Bisher 	 ADV
sind 	 VAFIN
225 	 CARD
Forschungspartner 	 NN
in 	 APPR
41 	 CARD
Projekten 	 NN
verteilt 	 VVPP
auf 	 APPR
42 	 CARD
Länder 	 NN
beteiligt 	 VVPP
. 	 $.

 	 _SP
Swiss 	 NN
TPH 	 NE

 	 _SP
Das 	 ART
Schweizerische 	 ADJA
Tropen- 	 TRUNC
und 	 KON
Public- 	 TRUNC
Health-Institut 	 NE
in 	 APPR
Basel 	 NE
( 	 $(
Swiss 	 NN
TPH 	 NE
) 	 $(
wurde 	 VAFIN
1944 	 CARD
gegründet 	 VVPP
. 	 $.
In 	 APPR
den 	 ART
Bereichen 	 NN
tropische 	 ADJA
Krankheiten 	 NN
und 	 KON
Public 	 NE
Health 	 NE
ist 	 VAFIN
das 	 ART
Swiss 	 NN
TPH 	 NE
weltweit 	 ADJD
anerkannt 	 VVPP
. 	 $.
In 	 APPR
kompetitiven 	 ADJA
Ausschreibungen 	 NN
im 	 APPRART
