Title 	 NE
: 	 $.
Das 	 ART
Erbgut 	 NN
für 	 APPR
Schweizer 	 ADJA
Innovation 	 NN

 	 _SP
Author 	 NN
: 	 $.
Maurice 	 NE
Campagna 	 NE

 	 _SP
Abstract 	 NE
: 	 $.

 	 _SP
Bild 	 NN
: 	 $.
Valérie 	 NN
Chételat 	 NN

 	 _SP
Desoxyribonukleinsäure 	 NN
. 	 $.
22 	 CARD
Buchstaben 	 NN
für 	 APPR
eine 	 ART
ebenso 	 ADV
einfache 	 ADJA
wie 	 KOKOM
komplexe 	 ADJA
Entdeckung 	 NN
. 	 $.
Lebewesen 	 NN
schreiben 	 VVFIN
ihren 	 PPOSAT
Code 	 NN
mit 	 APPR
nur 	 ADV
vier 	 CARD
essenziellen 	 ADJA
Basen 	 NN
ins 	 APPRART
Erbgut 	 NN
: 	 $.
Adenin 	 NE
( 	 $(
A 	 NE
) 	 $(
, 	 $,
Thymin 	 NE
( 	 $(
T 	 NE
) 	 $(
, 	 $,
Guanin 	 NE
( 	 $(
G 	 NN
) 	 $(
und 	 KON
Cytosin 	 NN
( 	 $(
C 	 NE
) 	 $(
. 	 $.
Die 	 ART
Abkürzung 	 NN
dieser 	 PDAT
Entdeckung 	 NN
ist 	 VAFIN
uns 	 PPER
allen 	 PIS
geläufig 	 ADJD
: 	 $.
DNA 	 NE
. 	 $.
Ebenso 	 ADV
ihre 	 PPOSAT
geometrische 	 ADJA
Darstellung 	 NN
: 	 $.
die 	 ART
Doppelhelix 	 NN
. 	 $.
Ihr 	 PPOSAT
Ursprung 	 NN
liegt 	 VVFIN
in 	 APPR
den 	 ART
1860er 	 ADJA
Jahren 	 NN
, 	 $,
als 	 KOUS
der 	 ART
Schweizer 	 ADJA
Arzt 	 NN
Friedrich 	 NE
Miescher 	 NE
eine 	 ART
Substanz 	 NN
entdeckte 	 VVFIN
, 	 $,
die 	 PRELS
er 	 PPER
in 	 APPR
einem 	 ART
Extrakt 	 NN
aus 	 APPR
Eiter 	 NN
fand 	 VVFIN
. 	 $.
Er 	 PPER
nannte 	 VVFIN
sie 	 PPER
Nuklein 	 NE
. 	 $.
Erst 	 ADV
nach 	 APPR
unzähligen 	 ADJA
Experimenten 	 NN
von 	 APPR
zahlreichen 	 ADJA
Forschenden 	 NN
erhielten 	 VVFIN
James 	 NE
Watson 	 NE
, 	 $,
Francis 	 NE
Crick 	 NE
und 	 KON
Maurice 	 NE
Wilkins 	 NE
1962 	 CARD
den 	 ART
Nobelpreis 	 NN
für 	 APPR
Medizin 	 NN
für 	 APPR
die 	 ART
Entzifferung 	 NN
der 	 ART
Molekularstruktur 	 NN
der 	 ART
Nukleinsäuren 	 NN
und 	 KON
ihrer 	 PPOSAT
Bedeutung 	 NN
für 	 APPR
die 	 ART
Informationsübertragung 	 NN
in 	 APPR
lebender 	 ADJA
Substanz 	 NN
. 	 $.
ATGC 	 NE
– 	 $(
nicht 	 PTKNEG
mehr 	 ADV
und 	 KON
nicht 	 PTKNEG
weniger 	 ADV
. 	 $.

 	 _SP
Das 	 ART
Modell 	 NN
der 	 ART
Doppelhelix 	 NN
inspiriert 	 VVFIN
nicht 	 PTKNEG
nur 	 ADV
Biochemikerinnen 	 NN
und 	 KON
Biochemiker 	 NN
zur 	 APPRART
Beschreibung 	 NN
von 	 APPR
Prozessen 	 NN
in 	 APPR
Lebewesen 	 NN
. 	 $.
Zwei 	 CARD
Naturwissenschaftler 	 NN
haben 	 VAFIN
vor 	 APPR
nicht 	 PTKNEG
allzu 	 PTKA
langer 	 ADJA
Zeit 	 NN
gezeigt 	 VVPP
, 	 $,
dass 	 KOUS
die 	 ART
Doppelhelix 	 NN
auch 	 ADV
zur 	 APPRART
Datenspeicherung 	 NN
von 	 APPR
Büchern 	 NN
, 	 $,
Fotos 	 NN
, 	 $,
Filmen 	 NN
und 	 KON
Musik 	 NN
taugt 	 VVFIN
. 	 $.
Architektinnen 	 NN
und 	 KON
Architekten 	 NN
dient 	 VVFIN
die 	 ART
Spirale 	 NN
der 	 ART
Gene 	 NN
als 	 APPR
Referenz 	 NN
für 	 APPR
den 	 ART
Entwurf 	 NN
von 	 APPR
Hochhäusern 	 NN
. 	 $.
Und 	 KON
Stylisten 	 NN
flechten 	 VVFIN
langes 	 ADJA
Haar 	 NN
zu 	 APPR
Zöpfen 	 NN
mit 	 APPR
doppelter 	 ADJA
Windung 	 NN
. 	 $.

 	 _SP
Auch 	 ADV
das 	 ART
Geheimnis 	 NN
von 	 APPR
Innovation 	 NN
und 	 KON
erfolgreichem 	 ADJA
Unternehmertum 	 NN
beruht 	 VVFIN
auf 	 APPR
vier 	 CARD
grundlegenden 	 ADJA
Elementen 	 NN
: 	 $.
Dezentralisierung 	 NN
, 	 $,
Offenheit 	 NN
, 	 $,
Kontinuität 	 NN
und 	 KON
Autonomie 	 NN
, 	 $,
kurz 	 ADJD
DOKA 	 NE
. 	 $.
Gerade 	 ADV
in 	 APPR
der 	 ART
Schweiz 	 NE
können 	 VMFIN
wir 	 PPER
auf 	 APPR
diese 	 PDAT
vier 	 CARD
tragenden 	 ADJA
Pfeiler 	 NN
bauen 	 VVINF
. 	 $.
Wie 	 PWAV
wichtig 	 ADJD
ist 	 VAFIN
eine 	 ART
gesunde 	 ADJA
Konkurrenz 	 NN
zwischen 	 APPR
Wissenschaftlerinnen 	 NN
und 	 KON
Wissenschaftlern 	 NN
in 	 APPR
einem 	 ART
kleinräumigen 	 ADJA
Land 	 NN
, 	 $,
wo 	 PWAV
auch 	 ADV
die 	 ART
Kreativität 	 NN
dezentraler 	 ADJA
Standorte 	 NN
ein 	 ART
Teil 	 NN
des 	 ART
gesamten 	 ADJA
Netzwerks 	 NN
ist 	 VAFIN
und 	 KON
Innovationen 	 NN
bottom-up 	 NN
entstehen 	 VVINF
können 	 VMINF
? 	 $.
Wie 	 PWAV
gross 	 ADJD
der 	 ART
Wert 	 NN
von 	 APPR
offenem 	 ADJA
Austausch 	 NN
innerhalb 	 APPR
der 	 ART
Schweiz 	 NE
und 	 KON
über 	 APPR
die 	 ART
Landesgrenzen 	 NN
hinaus 	 APZR
ist 	 VAFIN
, 	 $,
haben 	 VAFIN
wir 	 PPER
bei 	 APPR
den 	 ART
Diskussionen 	 NN
um 	 APPR
die 	 ART
Beteiligung 	 NN
an 	 APPR
den 	 ART
europäischen 	 ADJA
Forschungsprogrammen 	 NN
wie 	 KOKOM
Horizon 	 NE
2020 	 CARD
gesehen 	 VVPP
. 	 $.
Ebenso 	 ADV
unterstützt 	 VVFIN
ein 	 ART
kontinuierliches 	 ADJA
Umfeld 	 NN
den 	 ART
erfolgreichen 	 ADJA
Verlauf 	 NN
von 	 APPR
Forschungsprojekten 	 NN
. 	 $.
Was 	 PWS
machen 	 VVFIN
wir 	 PPER
, 	 $,
wenn 	 KOUS
die 	 ART
Kreativität 	 NN
der 	 ART
Forscherinnen 	 NN
und 	 KON
Forscher 	 NN
von 	 APPR
einengenden 	 ADJA
Abhängigkeiten 	 NN
beschnitten 	 VVPP
wird 	 VAFIN
? 	 $.
Wenn 	 KOUS
Eigenverantwortung 	 NN
im 	 APPRART
Sinne 	 NN
von 	 APPR
Autonomie 	 NN
wegbricht 	 VVFIN
? 	 $.

 	 _SP
DOKA 	 NE
erklärt 	 VVFIN
auf 	 APPR
einfache 	 ADJA
Art 	 NN
und 	 KON
Weise 	 NN
, 	 $,
wie 	 KOKOM
im 	 APPRART
offenen 	 ADJA
Wettbewerb 	 NN
die 	 ART
Philosophie 	 NN
von 	 APPR
« 	 $(
think 	 FM
global 	 NE
, 	 $,
act 	 NE
local 	 NE
» 	 $(
in 	 APPR
einem 	 ART
Land 	 NN
mit 	 APPR
verschiedenen 	 ADJA
Kulturen 	 NN
, 	 $,
wie 	 PWAV
die 	 ART
Schweiz 	 NE
es 	 PPER
ist 	 VAFIN
, 	 $,
funktionieren 	 VVINF
kann 	 VMFIN
. 	 $.
Gemeinsame 	 ADJA
Werte 	 NN
, 	 $,
gemeinsame 	 ADJA
Ziele 	 NN
und 	 KON
möglichst 	 ADV
einfache 	 ADJA
Steuerungsmechanismen 	 NN
für 	 APPR
eine 	 ART
dezentrale 	 ADJA
Umsetzung 	 NN
: 	 $.
So 	 ADV
können 	 VMFIN
wir 	 PPER
die 	 ART
vorhandenen 	 ADJA
Ressourcen 	 NN
effizient 	 ADJD
einsetzen 	 VVINF
– 	 $(
solange 	 KOUS
Offenheit 	 NN
, 	 $,
Kontinuität 	 NN
und 	 KON
Autonomie 	 NN
gegeben 	 VVPP
sind 	 VAFIN
. 	 $.

 	 _SP
Maurice 	 NE
Campagna 	 NE
ist 	 VAFIN
Präsident 	 NN
der 	 ART
Akademien 	 NN
der 	 ART
Wissenschaften 	 ADJA
Schweiz 	 NE
