Title 	 PROPN___
: 	 PUNCT___
Une 	 DET__Definite=Ind|Gender=Fem|Number=Sing|PronType=Art
thérapie 	 NOUN__Gender=Fem|Number=Sing
participative 	 ADJ__Gender=Fem|Number=Sing

 	 _SP
Author 	 PROPN___
: 	 PUNCT___
Daniel 	 PROPN__Gender=Masc|Number=Sing
Saraga 	 PROPN___

 	 _SP
Abstract 	 NOUN__Gender=Masc|Number=Sing
: 	 PUNCT___
Une 	 DET__Definite=Ind|Gender=Fem|Number=Sing|PronType=Art
start 	 NOUN__Gender=Fem|Number=Sing
- 	 PUNCT___
up 	 DET__Gender=Fem|Number=Sing|Poss=Yes
lausannoise 	 NOUN__Gender=Masc|Number=Sing
veut 	 VERB__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
améliorer 	 VERB__VerbForm=Inf
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
rééducation 	 NOUN__Gender=Fem|Number=Sing
d’ 	 VERB__Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
un 	 DET__Definite=Ind|Gender=Masc|Number=Sing|PronType=Art
membre 	 NOUN__Gender=Masc|Number=Sing
paralysé 	 ADJ__Gender=Masc|Number=Sing
. 	 PUNCT___
Son 	 DET__Number=Sing|Poss=Yes
idée 	 NOUN__Gender=Fem|Number=Sing
: 	 PUNCT___
donner 	 VERB__VerbForm=Inf
au 	 PROPN___
patient 	 NOUN__Gender=Masc|Number=Sing
davantage 	 ADV___
de 	 ADP___
contrôle 	 NOUN__Gender=Masc|Number=Sing
lors 	 ADV___
de 	 ADP___
la 	 DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art
thérapie 	 NOUN__Gender=Fem|Number=Sing
. 	 PUNCT___

 	 _SP

 	 _SP
