Title 	 NE
: 	 $.
Die 	 ART
Barrieren 	 NN
niederreissen 	 VVFIN

 	 _SP
Author 	 NN
: 	 $.
Daniel 	 NE
Saraga 	 NE

 	 _SP
Abstract 	 NE
: 	 $.
Die 	 ART
Open-Science-Bewegung 	 NN
möchte 	 VMFIN
mehr 	 PIAT
Forschende 	 NN
dazu 	 PROAV
bewegen 	 VVINF
, 	 $,
ihre 	 PPOSAT
Daten 	 NN
zu 	 PTKZU
teilen 	 VVINF
. 	 $.
Das 	 ART
Ziel 	 NN
: 	 $.
Die 	 ART
Wissenschaft 	 NN
effizienter 	 ADJA
, 	 $,
nützlicher 	 ADJD
und 	 KON
zuverlässiger 	 ADJD
zu 	 PTKZU
machen 	 VVINF
. 	 $.

 	 _SP

 	 _SP
Zurückgezogene 	 ADJA
Artikel 	 NN
, 	 $,
nicht 	 PTKNEG
reproduzierbare 	 ADJA
Ergebnisse 	 NN
, 	 $,
nicht 	 PTKNEG
standardisierte 	 ADJA
Methoden 	 NN
und 	 KON
Publikationen 	 NN
hinter 	 APPR
Bezahlschranken 	 NN
: 	 $.
Die 	 ART
Wissenschaft 	 NN
hat 	 VAFIN
viele 	 PIAT
Probleme 	 NN
selbst 	 ADV
geschaffen 	 VVPP
( 	 $(
siehe 	 VVIMP
« 	 $(
Fixing 	 NE
Science 	 NE
» 	 $(
, 	 $,
Horizonte 	 NN
September 	 NN
2015 	 CARD
) 	 $(
. 	 $.
Sie 	 PPER
sucht 	 VVFIN
aber 	 ADV
auch 	 ADV
selbst 	 ADV
aktiv 	 ADJD
nach 	 APPR
Lösungen 	 NN
. 	 $.

 	 _SP
Für 	 APPR
viele 	 PIAT
Beobachter 	 NN
verspricht 	 VVFIN
ein 	 ART
neues 	 ADJA
Paradigma 	 NN
Linderung 	 NN
: 	 $.
Open 	 FM
Science 	 NE
. 	 $.
Die 	 ART
Idee 	 NN
ist 	 VAFIN
, 	 $,
die 	 ART
Barrieren 	 NN
niederzureissen 	 VVPP
, 	 $,
die 	 PRELS
die 	 ART
wissenschaftliche 	 ADJA
Produktionskette 	 NN
behindern 	 VVINF
– 	 $(
von 	 APPR
der 	 ART
Formulierung 	 NN
von 	 APPR
Hypothesen 	 NN
bis 	 APPR
zur 	 APPRART
Veröffentlichung 	 NN
der 	 ART
Ergebnisse 	 NN
. 	 $.
Die 	 ART
Schlüsselbegriffe 	 NN
: 	 $.
Teilen 	 NN
und 	 KON
Einbeziehen 	 NN
, 	 $,
Zusammenarbeit 	 NN
und 	 KON
Dezentralisierung 	 NN
, 	 $,
Transparenz 	 NN
. 	 $.
Die 	 ART
Forschungsarbeit 	 NN
soll 	 VMFIN
ganz 	 ADV
offengelegt 	 VVPP
und 	 KON
für 	 APPR
alle 	 PIS
zugänglich 	 ADJD
gemacht 	 VVPP
werden 	 VAINF
– 	 $(
für 	 APPR
Wissenschaftler 	 NN
ebenso 	 ADV
wie 	 KOKOM
für 	 APPR
Mitglieder 	 NN
der 	 ART
Zivilgesellschaft 	 NN
sowie 	 KON
der 	 ART
Industrie 	 NN
, 	 $,
sogar 	 ADV
auch 	 ADV
für 	 APPR
Informatikprogramme 	 NN
, 	 $,
die 	 PRELS
aus 	 APPR
alten 	 ADJA
Ergebnissen 	 NN
neue 	 ADJA
Schlussfolgerungen 	 NN
ziehen 	 VVINF
können 	 VMFIN
. 	 $.

 	 _SP
Wissen 	 NN
für 	 APPR
alle 	 PIAT

 	 _SP
Die 	 ART
erste 	 ADJA
Säule 	 NN
, 	 $,
der 	 ART
Open 	 FM
Access 	 FM
, 	 $,
stellt 	 VVFIN
den 	 ART
Gratis-Zugang 	 NN
zu 	 APPR
allen 	 PIAT
wissenschaftlichen 	 ADJA
Publikationen 	 NN
sicher 	 ADJD
. 	 $.
« 	 $(
Selbst 	 ADV
wenn 	 KOUS
die 	 ART
Leute 	 NN
etwas 	 ADV
ungeduldig 	 ADJD
sind 	 VAFIN
, 	 $,
befinden 	 VVFIN
wir 	 PPER
uns 	 PRF
klar 	 ADJD
auf 	 APPR
dem 	 ART
richtigen 	 ADJA
Weg 	 NN
» 	 $(
, 	 $,
kommentiert 	 VVFIN
Daniël 	 NE
Lakens 	 NE
, 	 $,
Forscher 	 NN
im 	 APPRART
Bereich 	 NN
Psychologie 	 NN
an 	 APPR
der 	 ART
Eindhoven 	 NN
University 	 NE
of 	 NE
Technology 	 NE
und 	 KON
Open-Access-Aktivist 	 NE
. 	 $.
Gemäss 	 NN
einer 	 ART
europäischen 	 ADJA
Studie 	 NN
von 	 APPR
2014 	 CARD
sind 	 VAFIN
mehr 	 PIS
als 	 KOKOM
die 	 ART
Hälfte 	 NN
der 	 ART
seit 	 APPR
2007 	 CARD
veröffentlichten 	 ADJA
Artikel 	 NN
frei 	 ADJD
zugänglich 	 ADJD
. 	 $.
Ungelöst 	 ADJD
ist 	 VAFIN
nach 	 ADV
wie 	 KON
vor 	 ADV
die 	 ART
Kostenfrage 	 NN
: 	 $.
Die 	 ART
Lektüre 	 NN
eines 	 ART
Open-Access-Journals 	 NN
mag 	 VMFIN
gratis 	 ADJD
sein 	 VAINF
, 	 $,
einen 	 ART
Artikel 	 NN
darin 	 PROAV
zu 	 PTKZU
veröffentlichen 	 VVINF
kostet 	 VVFIN
aber 	 ADV
durchschnittlich 	 ADJD
3000 	 CARD
Euro 	 NN
. 	 $.
Im 	 APPRART
Gegensatz 	 NN
dazu 	 PROAV
stellen 	 VVFIN
Preprint-Plattformen 	 NN
wie 	 KOKOM
Arxiv 	 NE
oder 	 KON
SSRN 	 NE
an 	 APPR
Fachzeitschriften 	 NN
eingereichte 	 ADJA
Manuskripte 	 NN
kostenlos 	 ADJD
zur 	 APPRART
Verfügung 	 NN
. 	 $.
Die 	 ART
wissenschaftlichen 	 ADJA
Verlage 	 NN
, 	 $,
die 	 PRELS
wegen 	 APPR
der 	 ART
ständig 	 ADJD
steigenden 	 ADJA
Preise 	 NN
in 	 APPR
der 	 ART
Kritik 	 NN
stehen 	 VVFIN
, 	 $,
müssen 	 VMFIN
reagieren 	 VVINF
, 	 $,
weil 	 KOUS
sie 	 PPER
sich 	 PRF
mit 	 APPR
dem 	 ART
Vorwurf 	 NN
der 	 ART
Piraterie 	 NN
konfrontiert 	 VVPP
sehen 	 VVINF
: 	 $.
Auf 	 APPR
Internetplattformen 	 NN
werden 	 VAFIN
Kopien 	 NN
von 	 APPR
Millionen 	 NN
von 	 APPR
Artikeln 	 NN
zur 	 APPRART
Verfügung 	 NN
gestellt 	 VVPP
– 	 $(
illegal 	 ADJD
zwar 	 ADV
, 	 $,
aber 	 KON
nach 	 APPR
Ansicht 	 NN
mancher 	 PIAT
legitim 	 ADJD
. 	 $.

 	 _SP
Open 	 FM
Research 	 FM
Data 	 NE
, 	 $,
der 	 ART
zweite 	 ADJA
Pfeiler 	 NN
der 	 ART
Bewegung 	 NN
, 	 $,
will 	 VMFIN
die 	 ART
Haltung 	 NN
der 	 ART
Wissenschaftsgemeinde 	 NN
gegenüber 	 APPR
den 	 ART
Rohdaten 	 NN
ihrer 	 PPOSAT
Forschung 	 NN
grundlegend 	 ADJD
ändern 	 VVINF
. 	 $.
« 	 $(
Die 	 ART
meisten 	 PIAT
Forschenden 	 NN
halten 	 VVFIN
die 	 ART
Daten 	 NN
für 	 APPR
ihr 	 PPOSAT
Eigentum 	 NN
