Title 	 NN
: 	 :
Low 	 JJ
cost 	 NN
space 	 NN
flight 	 NN

 	 _SP
Author 	 NN
: 	 :
Roland 	 NNP
Fischer 	 NNP

 	 _SP
Abstract 	 NNP
: 	 :
Nanosatellites 	 NNS
weigh 	 VBP
just 	 RB
over 	 IN
a 	 DT
kilogram 	 NN
, 	 ,
do 	 VB
n’t 	 RB
cost 	 VB
more 	 JJR
than 	 IN
a 	 DT
family 	 NN
car 	 NN
, 	 ,
and 	 CC
are 	 VBP
destined 	 VBN
to 	 TO
democratise 	 VB
access 	 NN
to 	 IN
space 	 NN
. 	 .
Researchers 	 NNS
and 	 CC
manufacturers 	 NNS
from 	 IN
Switzerland 	 NNP
are 	 VBP
involved 	 VBN
. 	 .

 	 _SP

 	 _SP
The 	 DT
CubETH 	 NNP
satellite 	 NN
is 	 VBZ
a 	 DT
four 	 CD
- 	 HYPH
inch 	 NN
cube 	 NN
and 	 CC
is 	 VBZ
intended 	 VBN
to 	 TO
be 	 VB
an 	 DT
alternative 	 NN
to 	 IN
the 	 DT
GPS 	 NNP
system 	 NN
of 	 IN
the 	 DT
USA 	 NNP
. 	 .
| 	 NNP
Photo 	 NNP
: 	 :
Reto 	 NNP
Wiesendanger 	 NNP
, 	 ,
EPFL 	 NNP

 	 _SP
The 	 DT
space 	 NN
flight 	 NN
scene 	 NN
is 	 VBZ
in 	 IN
a 	 DT
state 	 NN
of 	 IN
upheaval 	 NN
. 	 .
Something 	 NN
along 	 IN
the 	 DT
lines 	 NNS
of 	 IN
a 	 DT
democratisation 	 NN
of 	 IN
space 	 NN
is 	 VBZ
happening 	 VBG
– 	 :
at 	 IN
least 	 JJS
as 	 RB
far 	 RB
as 	 IN
the 	 DT
lower 	 JJR
orbits 	 NNS
are 	 VBP
concerned 	 JJ
. 	 .
For 	 IN
several 	 JJ
years 	 NNS
, 	 ,
numerous 	 JJ
universities 	 NNS
have 	 VBP
been 	 VBN
experimenting 	 VBG
with 	 IN
so 	 RB
- 	 HYPH
called 	 VBN
nanosatellites 	 NNS
. 	 .
In 	 IN
the 	 DT
coming 	 VBG
years 	 NNS
, 	 ,
they 	 PRP
will 	 MD
probably 	 RB
experience 	 VB
a 	 DT
commercial 	 JJ
breakthrough 	 NN
– 	 :
and 	 CC
Switzerland 	 NNP
is 	 VBZ
playing 	 VBG
an 	 DT
important 	 JJ
role 	 NN
in 	 IN
it 	 PRP
. 	 .

 	 _SP
For 	 IN
example 	 NN
, 	 ,
there 	 EX
are 	 VBP
young 	 JJ
entrepreneurs 	 NNS
such 	 JJ
as 	 IN
the 	 DT
Astrocast 	 NNP
team 	 NN
from 	 IN
Lausanne 	 NNP
who 	 WP
want 	 VBP
to 	 TO
use 	 VB
nanosatellites 	 NNS
  	 _SP
to 	 TO
create 	 VB
a 	 DT
global 	 JJ
data 	 NN
network 	 NN
for 	 IN
the 	 DT
Internet 	 NN
of 	 IN
Things 	 NNS
. 	 .
With 	 IN
a 	 DT
planned 	 VBN
minimum 	 JJ
bandwidth 	 NN
of 	 IN
one 	 CD
kilobyte 	 NN
per 	 IN
day 	 NN
, 	 ,
  	 _SP
the 	 DT
technology 	 NN
is 	 VBZ
correspondingly 	 RB
cheap 	 JJ
. 	 .
Initial 	 JJ
commercial 	 JJ
deals 	 NNS
have 	 VBP
been 	 VBN
agreed 	 VBN
, 	 ,
and 	 CC
they 	 PRP
are 	 VBP
presently 	 RB
looking 	 VBG
for 	 IN
a 	 DT
Partner 	 NNP
  	 _SP
who 	 WP
can 	 MD
offer 	 VB
low 	 JJ
- 	 HYPH
cost 	 NN
transport 	 NN
. 	 .
In 	 IN
fact 	 NN
, 	 ,
constructing 	 VBG
small 	 JJ
satellites 	 NNS
is 	 VBZ
now 	 RB
such 	 PDT
a 	 DT
routine 	 JJ
matter 	 NN
that 	 IN
it 	 PRP
’s 	 VBZ
more 	 RBR
expensive 	 JJ
to 	 TO
put 	 VB
a 	 DT
satellite 	 NN
into 	 IN
orbit 	 NN
than 	 IN
to 	 TO
make 	 VB
it 	 PRP
. 	 .

 	 _SP
‘ 	 ``
Low 	 JJ
cost 	 NN
’ 	 ''
– 	 :
that 	 DT
’s 	 VBZ
the 	 DT
magic 	 JJ
word 	 NN
in 	 IN
this 	 DT
‘ 	 ``
new 	 JJ
space 	 NN
movement 	 NN
’ 	 ''
. 	 .
“ 	 ``
Until 	 IN
now 	 RB
, 	 ,
space 	 NN
missions 	 NNS
were 	 VBD
the 	 DT
preserve 	 NN
of 	 IN
the 	 DT
big 	 JJ
state 	 NN
  	 _SP
agencies 	 NNS
” 	 ''
, 	 ,
says 	 VBZ
Markus 	 NNP
Rothacher 	 NNP
, 	 ,
a 	 DT
professor 	 NN
of 	 IN
mathematics 	 NNS
and 	 CC
physical 	 JJ
geodesy 	 NN
at 	 IN
ETH 	 NNP
Zurich 	 NNP
. 	 .
“ 	 ``
But 	 CC
today 	 NN
, 	 ,
every 	 DT
university 	 NN
is 	 VBZ
  	 _SP
in 	 IN
a 	 DT
position 	 NN
to 	 TO
produce 	 VB
its 	 PRP$
own 	 JJ
satellites 	 NNS
, 	 ,
as 	 IN
are 	 VBP
the 	 DT
smaller 	 JJR
companies 	 NNS
” 	 ''
. 	 .

 	 _SP
Independent 	 JJ
GPS 	 NN

 	 _SP
The 	 DT
EPFL 	 NNP
spin 	 NN
- 	 HYPH
off 	 RP
company 	 NN
Astrocast 	 NNP
is 	 VBZ
basing 	 VBG
what 	 WP
it 	 PRP
does 	 VBZ
on 	 IN
the 	 DT
expertise 	 NN
gained 	 VBN
from 	 IN
the 	 DT
Swisscube 	 NNP
, 	 ,
which 	 WDT
was 	 VBD
the 	 DT
first 	 JJ
  	 _SP
and 	 CC
so 	 RB
far 	 RB
the 	 DT
only 	 JJ
small 	 JJ
satellite 	 NN
to 	 TO
have 	 VB
been 	 VBN
launched 	 VBN
by 	 IN
a 	 DT
Swiss 	 JJ
university 	 NN
, 	 ,
back 	 RB
in 	 IN
2009 	 CD
. 	 .
A 	 DT
successor 	 NN
satellite 	 NN
should 	 MD
have 	 VB
long 	 RB
been 	 VBN
sent 	 VBN
up 	 RP
, 	 ,
but 	 CC
the 	 DT
CubETH 	 NNP
project 	 NN
of 	 IN
ETH 	 NNP
Zurich 	 NNP
and 	 CC
EPFL 	 NNP
is 	 VBZ
n’t 	 RB
quite 	 RB
getting 	 VBG
off 	 IN
the 	 DT
ground 	 NN
. 	 .
They 	 PRP
planned 	 VBD
building 	 VBG
a 	 DT
four 	 CD
- 	 HYPH
inch 	 NN
cube 	 NN
with 	 IN
which 	 WDT
to 	 TO
be 	 VB
able 	 JJ
to 	 TO
test 	 VB
a 	 DT
simple 	 JJ
global 	 JJ
navigation 	 NN
satellite 	 NN
system 	 NN
independent 	 JJ
of 	 IN
the 	 DT
American 	 JJ
GPS 	 NNP
. 	 .
It 	 PRP
’s 	 VBZ
not 	 RB
a 	 DT
receiver 	 NN
designed 	 VBN
especially 	 RB
for 	 IN
space 	 NN
, 	 ,
but 	 CC
is 	 VBZ
made 	 VBN
using 	 VBG
off 	 IN
- 	 HYPH
the 	 DT
- 	 HYPH
rack 	 NN
technology 	 NN
. 	 .
The 	 DT
researchers 	 NNS
at 	 IN
ETH 	 NNP
Zurich 	 NNP
are 	 VBP
currently 	 RB
examining 	 VBG
whether 	 IN
the 	 DT
GNSS 	 NNP
chips 	 VBZ
mass 	 RB
- 	 HYPH
produced 	 VBN
by 	 IN
the 	 DT
Thalwil 	 NNP
company 	 NN
U 	 NNP
- 	 HYPH
Blox 	 NNP
are 	 VBP
suitable 	 JJ
for 	 IN
the 	 DT
inhospitable 	 JJ
conditions 	 NNS
of 	 IN
space 	 NN
. 	 .
They 	 PRP
have 	 VBP
already 	 RB
survived 	 VBN
the 	 DT
vacuum 	 NN
chamber 	 NN
of 	 IN
Ruag 	 NNP
Space 	 NNP
without 	 IN
incurring 	 VBG
any 	 DT
damage 	 NN
, 	 ,
and 	 CC
they 	 PRP
are 	 VBP
currently 	 RB
undergoing 	 VBG
radiation 	 NN
tests 	 NNS
at 	 IN
the 	 DT
Paul 	 NNP
Scherrer 	 NNP
Institute 	 NNP
. 	 .

 	 _SP
The 	 DT
technology 	 NN
of 	 IN
CubETH 	 NN
is 	 VBZ
of 	 IN
central 	 JJ
interest 	 NN
to 	 IN
the 	 DT
Astrocast 	 NNP
mission 	 NN
, 	 ,
and 	 CC
the 	 DT
chip 	 NN
will 	 MD
be 	 VB
tested 	 VBN
in 	 IN
2017 	 CD
on 	 IN
one 	 CD
of 	 IN
the 	 DT
first 	 JJ
flights 	 NNS
of 	 IN
the 	 DT
Lausanne 	 NNP
spin 	 NN
- 	 HYPH
off 	 NN
. 	 .
Astrocast 	 NNP
will 	 MD
send 	 VB
a 	 DT
total 	 NN
of 	 IN
64 	 CD
small 	 JJ
satellites 	 NNS
into 	 IN
low 	 JJ
orbit 	 NN
in 	 IN
the 	 DT
coming 	 VBG
years 	 NNS
in 	 IN
order 	 NN
to 	 TO
achieve 	 VB
unbroken 	 JJ
coverage 	 NN
of 	 IN
the 	 DT
whole 	 JJ
Earth 	 NNP
’s 	 ,
surface 	 NN
. 	 .
“ 	 ``
The 	 DT
primary 	 JJ
goal 	 NN
is 	 VBZ
to 	 TO
win 	 VB
over 	 IN
commercial 	 JJ
operators 	 NNS
such 	 JJ
as 	 IN
transport 	 NN
companies 	 NNS
and 	 CC
the 	 DT
manufacturers 	 NNS
of 	 IN
measurement 	 NNP
systems 	 NNS
” 	 ''
, 	 ,
says 	 VBZ
CEO 	 NNP
Fabien 	 NNP
Jordan 	 NNP
. 	 .
But 	 CC
he 	 PRP
hopes 	 VBZ
that 	 IN
researchers 	 NNS
from 	 IN
  	 _SP
a 	 DT
multitude 	 NN
of 	 IN
disciplines 	 NNS
, 	 ,
from 	 IN
meteorology 	 NN
to 	 IN
biology 	 NN
, 	 ,
will 	 MD
be 	 VB
among 	 IN
those 	 DT
using 	 VBG
his 	 PRP$
infrastructure 	 NN
. 	 .
For 	 IN
example 	 NN
, 	 ,
Researchers 	 NNS
  	 _SP
might 	 MD
want 	 VB
to 	 TO
collect 	 VB
extensive 	 JJ
